"iso","sector","X1750","X1751","X1752","X1753","X1754","X1755","X1756","X1757","X1758","X1759","X1760","X1761","X1762","X1763","X1764","X1765","X1766","X1767","X1768","X1769","X1770","X1771","X1772","X1773","X1774","X1775","X1776","X1777","X1778","X1779","X1780","X1781","X1782","X1783","X1784","X1785","X1786","X1787","X1788","X1789","X1790","X1791","X1792","X1793","X1794","X1795","X1796","X1797","X1798","X1799","X1800","X1801","X1802","X1803","X1804","X1805","X1806","X1807","X1808","X1809","X1810","X1811","X1812","X1813","X1814","X1815","X1816","X1817","X1818","X1819","X1820","X1821","X1822","X1823","X1824","X1825","X1826","X1827","X1828","X1829","X1830","X1831","X1832","X1833","X1834","X1835","X1836","X1837","X1838","X1839","X1840","X1841","X1842","X1843","X1844","X1845","X1846","X1847","X1848","X1849","X1850","X1851","X1852","X1853","X1854","X1855","X1856","X1857","X1858","X1859","X1860","X1861","X1862","X1863","X1864","X1865","X1866","X1867","X1868","X1869","X1870","X1871","X1872","X1873","X1874","X1875","X1876","X1877","X1878","X1879","X1880","X1881","X1882","X1883","X1884","X1885","X1886","X1887","X1888","X1889","X1890","X1891","X1892","X1893","X1894","X1895","X1896","X1897","X1898","X1899","X1900","X1901","X1902","X1903","X1904","X1905","X1906","X1907","X1908","X1909","X1910","X1911","X1912","X1913","X1914","X1915","X1916","X1917","X1918","X1919","X1920","X1921","X1922","X1923","X1924","X1925","X1926","X1927","X1928","X1929","X1930","X1931","X1932","X1933","X1934","X1935","X1936","X1937","X1938","X1939","X1940","X1941","X1942","X1943","X1944","X1945","X1946","X1947","X1948","X1949","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","ver"
"abw","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"afg","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"ago","DEFO",6.02087477378643,6.16323597546721,6.35331637156519,6.21469115677302,6.36419959179726,6.29913379230151,5.82642093066365,6.33270082861152,6.67203781927695,5.82722466652564,5.77857700546975,6.15240914960206,5.88475373856953,6.24704831979577,6.28535142970209,5.95930316931217,6.30765180225511,6.06910009709019,6.56810984162261,6.11115671327633,6.28845210927578,6.25437154033957,6.24718614111469,6.12426524623869,6.6482993705236,6.49144367075805,5.8547518759333,6.16861628794808,7.00195924141985,5.87994656405754,5.83869599192504,6.07331191985284,5.99233404762446,6.07702205518924,6.33847314816805,5.82272079902358,6.17330341602546,6.12475165248644,6.59009725368065,6.16607380149001,6.3571980872722,6.29202919263223,6.52793857522424,6.17802719088269,6.7043992768606,6.48744929749649,5.73286570953501,6.23784151996986,7.01308535038546,5.93843779824485,5.92105535506126,6.11508956737355,6.1117236048699,6.05348895261345,6.43027828891286,5.87910777632936,6.3362382965342,6.17851355788104,6.70271061349456,6.26978208228151,6.41112116093271,6.54300330071558,6.56829458146904,6.25762034736469,6.82986484796704,6.65079213124149,6.09246322010072,6.30020623657751,7.28839076823258,6.13692787359549,6.2127925832883,6.40450914808055,6.13846067866886,6.28744843869974,6.64054699729051,6.0768469425017,6.29414996426329,6.2605546229041,6.71979485276974,6.33562720350517,6.49687854561845,6.47684924843871,6.66304366801327,6.33512555173949,6.84661325724787,6.60390877699979,6.07116037046144,6.36666748083702,7.19117835149103,6.11349316260865,5.88864059034105,6.5236221869403,6.23575647869523,6.17111670162698,6.52584344949236,6.02617826221142,6.287687411446,6.34100333096272,6.6711361617996,6.52887472647414,6.59719946747394,6.52662443320079,6.44189437272151,6.41881613214319,6.96497540549308,6.67691586290844,5.84174736404675,6.73002312797861,7.32131344856209,6.21494333102423,6.15370965740735,6.40965865774985,6.27009780801758,6.27666836077461,6.41330311491954,6.34131580854157,6.45513256603354,6.49851761619958,6.95006392418411,6.5194959181776,6.76399800122812,6.7577455463047,6.39438143871076,6.7830118193484,7.12413481664965,6.68692654854852,6.11631077996663,6.68922682492444,7.3998302582016,6.38083339933587,6.14910839955991,6.66287197313864,6.42081073131427,6.36578465415897,6.79601870810827,6.29419369037156,6.61313514027635,6.67422735149388,6.83743079021544,6.88811996774441,6.92334404080346,6.73529007714825,6.6815664383988,6.70621555106705,7.31518941307023,7.15335087134079,5.92551978125548,7.06823487082409,7.43428370538625,6.51484512025591,6.4537196085796,6.63217599507382,6.5761178425972,6.40900781809403,6.66917259554657,6.65086089111533,6.79920124086335,6.83986273113803,7.18176634184533,6.87159193792903,7.09544133025559,6.91198918948895,6.67926978096761,7.14515547932877,7.54172227125278,7.00030039835968,6.29780632733149,7.0407801433176,7.54429976269429,6.74045564596098,6.854675668351,7.11106412886243,6.78561679251519,7.21583009918709,6.87718862403354,6.53949378384637,7.11363858896115,7.17599871401411,6.74759451348082,6.60746448240975,7.37187596101423,6.43106803189953,7.27583121322982,6.2796395111021,7.3580739787562,6.97644882872288,7.28605409598458,7.22529012426978,7.20256296836447,7.54032141770021,7.59227406836997,7.20153160955831,7.36089886156067,7.30531440043126,7.07272842143553,7.38871319588582,6.68979563809211,7.0774695447812,7.77531599050538,6.51591835978528,7.81658001982828,7.33593672583154,7.06768801033288,7.55993702203013,7.34713035608889,7.96423923636364,7.74237692280374,8.46078165467551,7.52870687957821,7.10085043514063,6.98751928947998,6.74103227958341,7.70077587744438,7.58642368394361,6.77853218809248,6.76754893577,6.80726815605234,8.30965403362758,7.08250669399688,7.44516628445228,7.21538405188416,7.34293807146478,8.0130300157428,7.5015226988842,8.02695580940799,7.07958561977858,7.35241053082322,7.64160916365611,8.32937128352971,7.48593768777609,8.09098883085042,7.27688635300497,7.91702163630431,6.56735912036244,7.4329378001828,7.07539672540303,7.7677294099285,6.58766824686571,7.45648260234004,7.57122634700495,7.374122607358,7.54383208656322,7.07439768308136,7.27084008073357,7.07079484924742,7.05092374979805,7.1239345928551,0.916528782029752,2.4603353813806,0.642068514371391,3.56736892722215,12.0355850444686,9.37556250704418,8.02847686408782,7.75519496170433,11.5353986362539,10.9606116028295,6.26980765355586,8.86712484812407,9.70996310007783,7.85199764046062,7.55366692345666,6.25803793011964,8.29620367679399,8.60567899426391,7.45355193667254,"1.2"
"aia","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"ala","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"alb","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"and","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"are","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"arg","DEFO",1.39796130205948,1.12866491812997,1.0671612689916,1.18177620756615,1.10799481324027,1.43085714658785,1.33511504671241,1.12236729635349,0.829550984319544,0.995537890528351,1.19703836085193,1.2959720600947,1.13298915591202,1.09765422618087,1.07013663147875,1.33975391836527,1.26293240416596,1.27859448134236,1.27954941685115,1.30061154315946,1.44963866424438,1.14707832742734,1.09995936625502,1.20537113983776,1.14012634658009,1.45432858574761,1.34348760092722,1.1410059231652,0.849302620909237,1.00782479518968,1.23791448823891,1.30483011287391,1.14587165610083,1.128155810874,1.09454972183105,1.39722039207346,1.26276794551613,1.29532441496918,1.30799407243673,1.33644517023844,1.49360566551484,1.15217816525008,1.13900993666387,1.23178637861099,1.16849781253994,1.4881746424817,1.30940575373741,1.13196465156342,0.85566530725008,1.02246136728092,1.25144218195548,1.31807255345612,1.15308077117056,1.15904240442816,1.12057766580871,1.46821110350271,1.29752290485167,1.37010911680732,1.40996262647306,1.4046743832554,1.56397666548349,1.22292015160475,1.19536807985765,1.32804359343331,1.25181433242506,1.56744267594254,1.47625105856758,1.24401244644412,0.938821823592539,1.11501055477678,1.34619079796812,1.47393998316681,1.25501314881481,1.26873817127743,1.20573660298061,1.56652960105357,1.39954896755232,1.41477771548737,1.43437998133047,1.46653962242976,1.59846885378758,1.27301662228066,1.24594439937269,1.32889503661822,1.36555240983446,1.67478449194022,1.4739611586742,1.25321371850385,0.955482969028335,1.21202493669406,1.39166453087347,1.38473099047602,1.32275700574489,1.27130226794262,1.18154167592825,1.54496529494743,1.33289582587016,1.42723848667636,1.47954119076532,1.55446429767085,1.6557849239019,1.3323067272023,1.28729977118063,1.42982691022325,1.44059355514579,1.71279775158939,1.57759734787355,1.34875320108871,1.01642049469579,1.30362567442188,1.5002530013159,1.474307502452,1.41520570103191,1.3410314592391,1.25602214023043,1.64846344155118,1.42293284169979,1.51331736045778,1.52142792152452,1.62227406035285,1.72978493532109,1.39179968196395,1.36754538010194,1.51013019283716,1.55152624573135,1.79181410473808,1.66828955553381,1.39915265736474,1.08089911987122,1.38736767471455,1.59266599595336,1.53737010180445,1.49913552203794,1.44084654648909,1.32620832846577,1.74067449130357,1.50007499584344,1.60742942176508,1.59370589604108,1.7272454428869,1.77898947019426,1.46340342286017,1.41922956412587,1.57534637984475,1.60274229856358,1.87906545169694,1.70867869494806,1.47429641397684,1.17428241847223,1.50580727592749,1.69361640438255,1.62914115091367,1.62285893316232,1.50007844134669,1.3979670403751,1.82304802612216,1.52352865287885,1.70430558526649,1.71778771816893,1.78681809921136,1.82047346019886,1.52524460758085,1.49061038702962,1.66091907837307,1.68589932589648,1.87926783995582,1.75054833760453,1.56009390472596,1.24579416873875,1.58250613973023,1.75053757466774,1.63235417187229,1.58380286914148,1.91489028346252,1.7998808764762,1.64133796283032,1.90780785415793,1.66895110706598,1.73890020599746,1.68496191773498,1.65785625483262,1.51978872836933,1.76289442284283,2.02227727886792,1.68327484594024,1.55875626288585,1.87936565478864,1.59929165633802,1.72181080085591,1.69198864287555,1.46408637529368,1.58906997656768,1.9767923001523,2.06653331810194,1.82521141206416,1.44455267736436,1.74818775678463,1.93193601530381,1.82380498564328,1.72940644582328,1.79904891763042,1.79619455787749,1.75177848322558,1.92737213709345,1.85119919430483,1.49123162421304,1.68854526149405,1.27161601915583,1.6776733789229,1.77188534628862,1.94438050416429,1.78792349417242,2.19739261844663,1.42511900592182,1.6213395167241,1.58299385762599,1.9379815474972,1.71689983606613,1.62518611888496,1.62006796602553,1.60629841272093,1.3675330324326,1.30906285295637,1.51745622025697,1.49560991050806,1.39035760908275,1.41213495600661,1.56631398623175,1.49249126147495,1.52994272567378,1.54064420030916,1.23735823305264,1.30048590698321,1.57884792894176,1.74220703473829,1.61608966058884,1.58669253120316,1.9342392212683,1.40650617685356,1.33079695645725,1.50964422479039,1.25509610263558,1.51610621944532,1.50208449044531,1.71814672077694,1.34911186358548,1.57899804392205,1.22290858873439,2.00343134256666,1.46996459729925,1.2886822722878,0.372978176049767,0.346897811781814,1.0067943293103,0.920075520899722,0.781640043772325,1.18125194523243,0.987992676289992,1.50127135734682,2.96647660315738,2.34948367501665,0.940562272859781,1.25569950638586,7.29298736915512,0.598638379123025,0.291676898456511,"1.2"
"arm","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
