"iso","sector","X1750","X1751","X1752","X1753","X1754","X1755","X1756","X1757","X1758","X1759","X1760","X1761","X1762","X1763","X1764","X1765","X1766","X1767","X1768","X1769","X1770","X1771","X1772","X1773","X1774","X1775","X1776","X1777","X1778","X1779","X1780","X1781","X1782","X1783","X1784","X1785","X1786","X1787","X1788","X1789","X1790","X1791","X1792","X1793","X1794","X1795","X1796","X1797","X1798","X1799","X1800","X1801","X1802","X1803","X1804","X1805","X1806","X1807","X1808","X1809","X1810","X1811","X1812","X1813","X1814","X1815","X1816","X1817","X1818","X1819","X1820","X1821","X1822","X1823","X1824","X1825","X1826","X1827","X1828","X1829","X1830","X1831","X1832","X1833","X1834","X1835","X1836","X1837","X1838","X1839","X1840","X1841","X1842","X1843","X1844","X1845","X1846","X1847","X1848","X1849","X1850","X1851","X1852","X1853","X1854","X1855","X1856","X1857","X1858","X1859","X1860","X1861","X1862","X1863","X1864","X1865","X1866","X1867","X1868","X1869","X1870","X1871","X1872","X1873","X1874","X1875","X1876","X1877","X1878","X1879","X1880","X1881","X1882","X1883","X1884","X1885","X1886","X1887","X1888","X1889","X1890","X1891","X1892","X1893","X1894","X1895","X1896","X1897","X1898","X1899","X1900","X1901","X1902","X1903","X1904","X1905","X1906","X1907","X1908","X1909","X1910","X1911","X1912","X1913","X1914","X1915","X1916","X1917","X1918","X1919","X1920","X1921","X1922","X1923","X1924","X1925","X1926","X1927","X1928","X1929","X1930","X1931","X1932","X1933","X1934","X1935","X1936","X1937","X1938","X1939","X1940","X1941","X1942","X1943","X1944","X1945","X1946","X1947","X1948","X1949","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","ver"
"abw","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"afg","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"ago","DEFO",58.7035289324819,60.0915507825496,61.9448347799279,60.5932387736702,62.0509461802315,61.4165546134025,56.8076040985639,61.7438336373207,65.0523687328836,56.8154403031795,56.3411259792852,59.9859893374616,57.3763489435974,60.908721296494,61.282176480421,58.1032058441299,61.4996050448299,59.1737257648013,64.0390711443178,59.5837781663828,61.3124080182588,60.9801225577093,60.9100649416034,59.7115862391822,64.8209188275649,63.2915758168265,57.0838306521778,60.1440090585426,68.2691028130306,57.3294790672015,56.9272859532542,59.2147912552125,58.4252567597925,59.2509648404082,61.8001131002184,56.771527845221,60.1897082809597,59.7163285732737,64.2534484856044,60.1192196079946,61.9826811923956,61.3472847189605,63.6474011403178,60.2357649320914,65.3678929409531,63.252630556531,55.8954405686391,60.8189547556917,68.3775822909186,57.8997686618128,57.7302898252976,59.6221234007676,59.5893053691261,59.0215171483848,62.6952132689116,57.3213009796193,61.7783233888947,60.2405072270533,65.3514280884585,61.1303752893248,62.508431347945,63.7942821423492,64.040872249688,61.0117981652963,66.5911823821797,64.8452232081838,59.4015163785141,61.4270107395252,71.0618101041423,59.8350466087485,60.5747276945655,62.4439640900572,59.8499915648924,61.3026224190458,64.745333400125,59.249257935822,61.3679623444585,61.0404074686241,65.5179999117352,61.7723653441748,63.344565812217,63.1492803073845,64.964675879946,61.7674741731538,66.7544791845149,64.3881107318347,59.1938134933584,62.0750078944336,70.1139890752884,59.6065583939646,57.4142455598836,63.6053165028012,60.7986256017655,60.1683880121952,63.6269737421739,58.7552380528384,61.3049521690496,61.8247824687668,65.0435777458676,63.656528519924,64.322695025083,63.6345882851787,62.8084700116057,62.5834573888278,67.9085101234729,65.0999294447187,56.957036929436,65.6177254059184,71.3828060966713,60.5956975036012,59.9986693413435,62.4941718472084,61.1334538121543,61.197516518013,62.5297051642331,61.8278293474229,62.9375425240785,63.3605468108178,67.7631234174155,63.5650853008839,65.9489808220229,65.8880189647751,62.3452192161114,66.1343654510936,69.46031462276,65.1975338652151,59.6340300390474,65.2199615163149,72.1483451281472,62.2131256993652,59.9538070186148,64.9630016849144,62.6029045157382,62.0664005078092,66.2611824440239,61.3683885767524,64.4780676749143,65.0737166231531,66.6649501873601,67.1591699492581,67.5026043733022,65.6690782573656,65.1452729430269,65.3856018184851,71.3230968463338,69.7451708418265,57.7738180136864,68.9152899005341,72.4842659888841,63.5197400550262,62.9237662650773,64.6637159184504,64.1171491604383,62.4878263221763,65.0244329714816,64.8458937517549,66.2922124564507,66.6886613029961,70.022221818311,66.9980214076439,69.1805529967588,67.3918944586342,65.1228803401179,69.6652659554874,73.5317924139941,68.252928940393,61.4036116260479,68.6476064001934,73.5569227091164,65.7194426046048,66.8330878959495,69.3328752029631,66.159763754437,70.3543435605921,67.0525890959665,63.7600642554612,69.3579759174102,69.9659872338387,65.7890465687791,64.4227787513175,71.875790771233,62.7029134762739,70.939354823904,61.2264851465195,71.7412210170384,68.0203760785742,71.039027272961,70.4465788600118,70.2249889588067,73.5181339419013,74.0246721263719,70.2149331029579,71.7687641064944,71.2268152816145,68.9591021311932,72.0399537799616,65.225507720931,69.0053280516408,75.8093310778001,63.5302039242134,76.2116552301059,71.525383029834,68.9099581300361,73.7093860714969,71.6345208165085,77.6513326916702,75.4881748352615,82.4926214405904,73.4048923438887,69.2332919338676,68.1283133595934,65.7250648278392,75.0825645191726,73.9676309568364,66.0906886659933,65.9836022865348,66.370864378131,81.0191267901812,69.0544404198541,72.5903716059368,70.3499945947927,71.5936461339471,78.1270424240444,73.1398461609198,78.2628189322895,69.025959533744,71.6860026083045,74.5056890459678,81.2113698548026,72.9878927501294,78.8871411948737,70.9496420669055,77.1909609519072,64.0317516433448,72.4711437103016,68.9851178481654,75.735361695401,64.2297653713947,72.7007051531113,73.8194569470971,71.897695515244,73.5523628056542,68.9753773107127,70.8906906764382,68.9402498252633,68.7465065269143,69.4583625118019,8.93615624883631,23.9882715961503,6.26016849152068,34.7818502304709,117.346963692557,91.4117405166148,78.2776553861175,75.6131558365024,112.470143079069,106.865969701289,61.130629762896,86.4544726418354,94.6721457514157,76.5569826121118,73.6482571645328,61.0158745361566,80.8879911277217,83.9053752713077,72.6721350935072,"1.2"
"aia","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"ala","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"alb","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"and","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"are","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"arg","DEFO",13.6301227528537,11.0044830296906,10.4048224307807,11.522318044455,10.8029495033683,13.9508572660679,13.01737176463,10.943081212976,8.08812217530284,9.70649451069808,11.6711241299571,12.6357276871665,11.0466442885934,10.7021288249332,10.4338322157979,13.0626006785971,12.3135909881941,12.4662962630778,12.4756069409199,12.6809626306203,14.1339770204631,11.1840137774568,10.7246038759381,11.7523686391005,11.1162320491105,14.1797037696706,13.0990042844486,11.12480780157,8.28070055280987,9.82629188330176,12.0696663041157,12.7220936308034,11.1722487130338,10.999519098012,10.6718598587242,13.6228989168708,12.3119874815923,12.6294132114971,12.7529421836645,13.0303405109726,14.5626552596096,11.2337371382995,11.1053469789471,12.0099172560545,11.3928536927204,14.5097028366416,12.7667061689562,11.0366554489618,8.34273685564364,9.96899844753766,12.2015613442281,12.8512074365922,11.2425375741826,11.3006635470198,10.9256323464786,14.3150583388943,12.6508483638097,13.3585640276541,13.7471355730402,13.6955753091595,15.2487725747297,11.9234715036329,11.6548388720677,12.9484251747602,12.2051898318254,15.282566227875,14.3934478653374,12.1291213799847,9.15351289543663,10.8713529591336,13.1253604343357,14.3709148750259,12.2363782426413,12.3701973773816,11.7559321151016,15.2736637471015,13.6456024678516,13.7940828044487,13.9852048009709,14.2987614655318,15.585071449171,12.4119120950569,12.1479579125703,12.956726685445,13.3141360882576,16.3291489188573,14.3711214531698,12.2188338453815,9.31595897287723,11.8172432079776,13.5687292726116,13.5011272867464,12.8968808488952,12.3951971951881,11.5200314316432,15.063411713529,12.9957343565278,13.9155753092748,14.4255266504776,15.1560270900818,16.1439031529277,12.989990676826,12.5511728750426,13.9408124185372,14.0457872852331,16.699778318356,15.3815741227423,13.1503437615329,9.91009993330994,12.7103504483602,14.6274668396219,14.3744982676821,13.7982556721296,13.0750568287962,12.2462158988585,16.0725185566376,13.8735953483181,14.7548443596865,14.8339223286375,15.8171722342758,16.8654032369031,13.570047053625,13.3335674857133,14.7237694224087,15.1273808239949,17.470187637065,16.2658233051509,13.6417384522573,10.5387664709709,13.5268348928718,15.528493605496,14.9893585419063,14.6165714347695,14.0482539589072,12.9305311987795,16.9715763931991,14.6257313598637,15.6724368756079,15.5386326366857,16.8406431956406,17.345147420283,14.2681833605111,13.8374884096035,15.3596272478512,15.6267376572384,18.3208883036696,16.659617488401,14.3743901331689,11.4492536922842,14.6816209823269,16.5127601116907,15.8841262551615,15.8228747003868,14.6257648874685,13.6301787833894,17.7747183338282,14.8544044267976,16.6169795793562,16.7484304044191,17.4214765254792,17.7496164495648,14.8711350990536,14.533451355337,16.1939611540481,16.4375185134719,18.3228613856303,17.0678463690288,15.2109156253468,12.1464931325335,15.4294349824025,17.067741504497,15.9154532993729,15.4420780904626,18.6701803859726,17.5488387366132,16.0030451851762,18.6011267143994,16.2722734425546,16.9542772429915,16.4283787994821,16.1640986877321,14.8179401797049,17.1882207007562,19.7172038181966,16.4119299380745,15.1978736246695,18.3238153053214,15.5930936873891,16.7876554827294,16.4968893885336,14.2748422244959,15.4934323072119,19.2737250075331,20.1486999285726,17.7958113511548,14.0843886387508,17.0448306753468,18.8363762683568,17.7820986073869,16.8617129116887,17.540727139583,17.512897060356,17.0798401996731,18.7918784155553,18.0491922228845,14.5395084494658,16.4633164666168,12.3982562601416,16.3573155200018,17.2758822964332,18.9577099108815,17.4322542100771,21.4245782157691,13.894910374253,15.8080603649069,15.4341902843958,18.8953201500095,16.7397735015047,15.8455648063621,15.7956629173345,15.6614097032621,13.3334471785202,12.7633629344851,14.7951982323534,14.5821967601896,13.5559868392809,13.7683158729291,15.2715613921082,14.5517899621578,14.916941620724,15.0212809569415,12.064242835703,12.6797376636661,15.393767385013,16.9865187342668,15.7568744092795,15.4702522950191,18.8588326636331,13.7134353557697,12.9752703803059,14.7190313298348,12.2371870805013,14.7820356918055,14.6453239315547,16.7519306487853,13.1538407741142,15.3952310000906,11.9233595774767,19.5334570812075,14.3321555330948,12.5646530499062,3.63653772675684,3.38225403766058,9.81624536265542,8.97073709587237,7.62099094081594,11.5172076525859,9.63292947715448,14.6373967019236,28.9231487884485,22.9074675759607,9.17048272310622,12.2430710385182,71.1066326226158,5.83672459806243,2.84385005521868,"1.2"
"arm","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
