"iso","sector","X1750","X1751","X1752","X1753","X1754","X1755","X1756","X1757","X1758","X1759","X1760","X1761","X1762","X1763","X1764","X1765","X1766","X1767","X1768","X1769","X1770","X1771","X1772","X1773","X1774","X1775","X1776","X1777","X1778","X1779","X1780","X1781","X1782","X1783","X1784","X1785","X1786","X1787","X1788","X1789","X1790","X1791","X1792","X1793","X1794","X1795","X1796","X1797","X1798","X1799","X1800","X1801","X1802","X1803","X1804","X1805","X1806","X1807","X1808","X1809","X1810","X1811","X1812","X1813","X1814","X1815","X1816","X1817","X1818","X1819","X1820","X1821","X1822","X1823","X1824","X1825","X1826","X1827","X1828","X1829","X1830","X1831","X1832","X1833","X1834","X1835","X1836","X1837","X1838","X1839","X1840","X1841","X1842","X1843","X1844","X1845","X1846","X1847","X1848","X1849","X1850","X1851","X1852","X1853","X1854","X1855","X1856","X1857","X1858","X1859","X1860","X1861","X1862","X1863","X1864","X1865","X1866","X1867","X1868","X1869","X1870","X1871","X1872","X1873","X1874","X1875","X1876","X1877","X1878","X1879","X1880","X1881","X1882","X1883","X1884","X1885","X1886","X1887","X1888","X1889","X1890","X1891","X1892","X1893","X1894","X1895","X1896","X1897","X1898","X1899","X1900","X1901","X1902","X1903","X1904","X1905","X1906","X1907","X1908","X1909","X1910","X1911","X1912","X1913","X1914","X1915","X1916","X1917","X1918","X1919","X1920","X1921","X1922","X1923","X1924","X1925","X1926","X1927","X1928","X1929","X1930","X1931","X1932","X1933","X1934","X1935","X1936","X1937","X1938","X1939","X1940","X1941","X1942","X1943","X1944","X1945","X1946","X1947","X1948","X1949","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","ver"
"abw","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"afg","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"ago","DEFO",1076.81030089108,1102.27105139575,1136.26619740745,1111.47361680799,1138.2126223313,1126.57585400649,1042.03297178098,1132.5791942583,1193.2683075817,1042.17671894199,1033.47627030641,1100.33471319945,1052.46557133287,1117.26056978335,1124.1109312529,1065.7984493955,1128.09926540759,1085.43521270892,1174.68118813137,1092.9568789708,1124.66547487703,1118.5702982539,1117.28521495985,1095.30128397356,1189.02277484105,1160.96973344482,1047.09985486538,1103.23329971146,1252.27348412256,1051.60582912668,1044.22832297248,1086.18847638721,1071.70589369976,1086.85201845862,1133.61154435442,1041.37122054035,1104.07156888265,1095.3882724729,1178.61354765425,1102.77858378109,1136.96042754342,1125.30522311476,1167.49670948628,1104.9164029906,1199.05602520473,1160.25535642761,1025.30098331672,1115.6139650292,1254.26334127317,1062.06676197336,1058.95797622787,1093.66025387612,1093.05826687433,1082.64321697957,1150.0305386883,1051.45581646566,1133.21184844206,1105.00338791443,1198.75401228697,1121.32641239973,1146.60436173815,1170.19097381746,1174.71422309428,1119.1513317594,1221.49506480185,1189.46859799061,1089.61361158719,1126.76765770132,1303.50065837305,1097.56594572344,1111.13405852493,1145.42182732416,1097.84007672593,1124.48597561199,1187.63629001873,1086.8207058822,1125.68451528507,1119.67611678894,1201.8094668758,1133.10255995323,1161.94173802449,1158.35958240553,1191.65973780021,1133.01284287116,1224.49044753523,1181.08368421897,1085.80367913776,1138.65399061278,1286.1145920539,1093.37474014769,1053.16071701378,1166.72473885493,1115.24106031489,1103.68048894279,1167.12200642737,1077.75880411244,1124.52870909365,1134.06405783023,1193.10705141003,1167.66413639644,1179.88375731844,1167.26167959926,1152.10803113182,1147.98058028445,1245.65906215283,1194.14072076699,1044.77405146186,1203.63875080865,1309.38875218183,1111.5187143206,1100.56730955742,1146.34280184642,1121.38288095418,1122.55799996635,1146.99459183069,1134.11994024745,1154.47563311676,1162.23488327509,1242.99220452222,1165.98676693283,1209.71503193284,1208.59680009395,1143.61053212009,1213.11557696194,1274.12411341712,1195.93109465136,1093.87866447476,1196.34249108588,1323.43118573697,1141.18751177786,1099.74438883332,1191.62902454832,1148.3373057098,1138.49610765427,1215.44181103524,1125.6923364974,1182.73378632798,1193.65989592088,1222.8481975677,1231.91376813512,1238.21345426075,1204.58072734582,1194.97245997399,1199.38085906116,1308.2934956754,1279.34929311977,1059.7564299031,1264.12661956645,1329.59304586788,1165.15499594374,1154.22293496627,1186.13916781295,1176.11338678499,1146.22639966655,1192.75586968453,1189.48089370877,1216.01099349411,1223.28313889173,1284.4312905808,1228.95779141744,1268.99239317738,1236.18268175679,1194.56171160478,1277.88358106747,1348.80802304891,1251.97680005688,1126.3384394994,1259.21644895401,1349.26899166873,1205.50456968559,1225.93238114488,1271.78646927434,1213.58147008673,1290.52346045618,1229.95873738855,1169.56330811465,1272.24690163082,1283.39976820793,1206.78132494542,1181.71961088365,1318.43166596628,1150.17178771952,1301.25443551436,1123.08937530184,1315.96322575691,1247.71104281852,1303.08275050107,1292.21535364042,1288.15068725469,1348.55748526199,1357.84901941697,1287.96622880194,1316.46845295863,1306.52738470753,1264.93027522389,1321.44294068967,1196.44421917414,1265.77820967522,1390.58536337353,1165.34694014137,1397.96527529284,1312.00406651308,1264.02881778793,1352.06566210758,1314.00600678424,1424.37356666261,1384.69433100637,1513.17826046132,1346.48026787921,1269.95978891683,1249.69095754521,1205.60769838019,1377.25414927969,1356.8026944053,1212.31441308703,1210.35010128506,1217.45372690534,1486.1496682666,1266.67908475197,1331.53936164322,1290.44368969112,1313.25623265819,1433.09959592398,1341.61848541879,1435.59017488969,1266.1566588689,1314.95034226729,1366.67240672812,1489.67601365611,1338.83116723321,1447.04223479911,1301.44313679016,1415.92886845256,1174.54692416503,1329.35233922041,1265.40749102536,1389.22852549455,1178.17912970954,1333.56323551966,1354.0847112613,1318.83347141356,1349.18535818675,1265.22881389602,1300.36178532179,1264.58446889077,1261.03059487262,1274.08830528552,163.917655318753,440.021528734886,114.831487557088,638.010238687786,2152.51817410438,1676.78335074578,1435.86225042232,1386.98685147816,2063.06174075133,1960.26330133241,1121.33102382614,1585.85123749357,1736.58959914515,1404.29963243243,1350.94431406122,1119.22606541155,1483.74418093026,1539.09265091191,1333.03912613304,"1.2"
"aia","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"ala","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"alb","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"and","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"are","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"arg","DEFO",250.020002580596,201.857379286528,190.857687411093,211.356128427663,198.160610102739,255.903296195354,238.780190053816,200.731073125732,148.362003150314,178.048121917881,214.085708165974,231.779619178902,202.630751934025,196.311236755046,191.389820673021,239.609834533967,225.870601431013,228.67170314577,228.842491428843,232.609371039379,259.262298463296,205.150546553101,196.723501219606,215.575991016962,203.907213694844,260.101072743897,240.277590244017,204.064519912832,151.894506471709,180.24558815423,221.396243015564,233.363846015856,204.934737655508,201.766325314297,195.756007816196,249.887493457938,225.841190246162,231.663788747008,233.929706769173,239.01807962094,267.125627606122,206.06263346618,203.707546545399,220.300255392394,208.981339026513,266.154309351902,234.182182512235,202.447524270695,153.032448383158,182.863282131138,223.815621006073,235.732206749398,206.224060201873,207.290277006756,200.41100556991,262.583908672579,232.056981294749,245.038746051936,252.166391093775,251.220610245385,279.711209972101,218.714564916628,213.786982951507,237.515489218405,223.88217865764,280.331092847056,264.021820772136,222.486842128071,167.904672589695,199.41534903464,240.761046660807,263.608494955885,224.454274287771,226.908942646845,215.641354309166,280.167793802504,250.303949900019,253.027550774645,256.533341239394,262.284970971682,285.880004761739,227.674125414295,222.832361785428,237.667764668253,244.223795275106,299.528763848926,263.612284850293,224.13245362275,170.884453980284,216.765998426266,248.893847707161,247.653811724056,236.570002308583,227.367521263382,211.314183418678,276.311099992571,238.383290768282,255.256113482955,264.610250301122,278.009962373481,296.130765118442,238.277932146281,230.228612381451,255.719042347103,257.644615858292,306.327293158874,282.147215643711,241.219321076915,181.782896005816,233.148436814327,268.314478604889,263.674227461738,253.104094966054,239.838317495025,224.634728083537,294.821345117319,254.486065967874,270.650989639244,272.101531015405,290.137476206024,309.365383031233,248.918018340187,244.580229622214,270.080974740006,277.484498317557,320.459059989053,298.367170774085,250.233069214604,193.314649368591,248.125372311946,284.842186617032,274.952729861753,268.114622662666,257.689862784518,237.187256363035,311.312938304594,268.28264367305,287.482566785034,285.028171478516,308.911203471897,318.165421391322,261.724071991238,253.823750220765,281.744638789791,286.644297331857,336.063627265829,305.590613374924,263.672241800193,210.015894674004,269.307839267444,302.896782402519,291.365629767863,290.242077632967,268.283259181382,250.02102781828,326.045126684245,272.477238145895,304.808496800452,307.21972841853,319.565543436093,325.584675248759,272.784132762894,266.58993241321,297.048987726,301.516609369112,336.09982079625,313.078835041946,279.016793379792,222.805493321992,283.025135676013,313.076912132537,291.940264003193,283.257051095862,342.470761393066,321.901772004951,293.546979362994,341.204095793584,298.485484933699,310.995615971364,301.348957337662,296.501215234671,271.808367108314,315.286888489422,361.676514419132,301.047232335858,278.777561901646,336.117318365003,286.027160368205,307.939238627941,302.605658276964,261.846215380687,284.19905193794,353.541698712204,369.591535344861,326.432039220376,258.35268947989,312.656652892505,345.519324962657,326.180504648588,309.29768951738,321.752979836417,321.242487205834,313.29884264246,344.703092639445,331.079856179944,266.701041217196,301.989824426378,227.423633937739,300.045429812458,316.894879982821,347.744973439039,319.763239779233,392.995216581439,254.877052795508,289.970337099927,283.11236291054,346.600545778258,307.06093336884,290.658287241263,289.742926169605,287.280293043248,244.578022791084,234.120856513804,271.391208777284,267.484079910382,248.660110226088,252.554905411171,280.129230960616,266.926320586427,273.624371263815,275.538288080735,221.296760091274,232.586902987158,282.370880095373,311.587026754278,289.03142095872,283.773854761155,345.931244208094,251.548220088692,238.007915676155,269.99406347789,224.469110846318,271.149766804869,268.642033893623,307.283933094404,241.283467722588,282.397727426832,218.712504615208,358.306002439379,262.897525601543,230.475880291323,66.7057155356669,62.0413424794654,180.061298767558,164.551976479847,139.793319629811,211.262375986757,176.698700145124,268.496619986726,530.542942823476,420.196143824792,168.215949769451,224.577029859177,1304.32280091999,107.064175075423,52.1652963804686,"1.2"
"arm","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
