"iso","sector","X1750","X1751","X1752","X1753","X1754","X1755","X1756","X1757","X1758","X1759","X1760","X1761","X1762","X1763","X1764","X1765","X1766","X1767","X1768","X1769","X1770","X1771","X1772","X1773","X1774","X1775","X1776","X1777","X1778","X1779","X1780","X1781","X1782","X1783","X1784","X1785","X1786","X1787","X1788","X1789","X1790","X1791","X1792","X1793","X1794","X1795","X1796","X1797","X1798","X1799","X1800","X1801","X1802","X1803","X1804","X1805","X1806","X1807","X1808","X1809","X1810","X1811","X1812","X1813","X1814","X1815","X1816","X1817","X1818","X1819","X1820","X1821","X1822","X1823","X1824","X1825","X1826","X1827","X1828","X1829","X1830","X1831","X1832","X1833","X1834","X1835","X1836","X1837","X1838","X1839","X1840","X1841","X1842","X1843","X1844","X1845","X1846","X1847","X1848","X1849","X1850","X1851","X1852","X1853","X1854","X1855","X1856","X1857","X1858","X1859","X1860","X1861","X1862","X1863","X1864","X1865","X1866","X1867","X1868","X1869","X1870","X1871","X1872","X1873","X1874","X1875","X1876","X1877","X1878","X1879","X1880","X1881","X1882","X1883","X1884","X1885","X1886","X1887","X1888","X1889","X1890","X1891","X1892","X1893","X1894","X1895","X1896","X1897","X1898","X1899","X1900","X1901","X1902","X1903","X1904","X1905","X1906","X1907","X1908","X1909","X1910","X1911","X1912","X1913","X1914","X1915","X1916","X1917","X1918","X1919","X1920","X1921","X1922","X1923","X1924","X1925","X1926","X1927","X1928","X1929","X1930","X1931","X1932","X1933","X1934","X1935","X1936","X1937","X1938","X1939","X1940","X1941","X1942","X1943","X1944","X1945","X1946","X1947","X1948","X1949","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","ver"
"abw","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"afg","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"ago","DEFO",37.2966441260435,38.1785085592245,39.3559722222734,38.4972505734788,39.4233887611654,39.0203351428662,36.0920889185414,39.2282680921393,41.3303101097478,36.0970676308242,35.7957171653518,38.1114412441119,36.4534347112873,38.6976887434249,38.9349595188921,36.915235326292,39.0731002689582,37.5953785334559,40.6865223280648,37.8559007780643,38.9541668984729,38.7430529492433,38.6985426082615,37.9371022120391,41.183260699712,40.2116094536628,36.2675864955828,38.2118372671953,43.3740264974397,36.4236565056498,36.1681275828886,37.6214689435727,37.1198469869541,37.6444515096916,39.2640249743958,36.0691683853761,38.2408718724796,37.9401152091592,40.8227245779308,38.1960874804516,39.3800175604639,38.9763251940997,40.4376790664865,38.270133566373,41.5307747011567,40.1868660189518,35.5125559538289,38.6406568670758,43.4429478652553,36.7859837025564,36.6783071657394,37.8802628751298,37.8594124394165,37.4986745575801,39.8327168772286,36.4184606608977,39.2501810145261,38.2731463368873,41.520314094022,38.8385144145594,39.714046991061,40.530998350427,40.6876667709194,38.7631777532446,42.3079782290368,41.1987024203303,37.7401026728844,39.0269783864771,45.1483426889799,38.0155415237733,38.485489508584,39.6730885803144,38.0250365115135,38.9479496765798,41.1352380973044,37.6433669138301,38.9894625991317,38.7813543655279,41.6261435596674,39.2463956748904,40.2452760543721,40.1212034941399,41.2745952398068,39.2432881027615,42.4117271618419,40.9082807897827,37.6081410005925,39.4386762119287,44.5461548750343,37.8703740038863,36.4775120720844,40.4109410711425,38.6277408654396,38.2273260515149,40.4247008645941,37.3294969281607,38.9494298552233,39.2796982384097,41.324724570922,40.4434780798294,40.866719582983,40.4295385469569,39.9046734010068,39.761714066813,43.1449280338052,41.3605273106071,36.1870295002248,41.6895031490285,45.3522838593337,38.4988125699404,38.1194973655014,39.7049874897525,38.8404702946002,38.8811717955167,39.7275631292884,39.2816339353053,39.9866782758506,40.2554293070644,43.0525581683888,40.3853804725515,41.899962500223,41.8612312118642,39.610352216117,42.0177445386762,44.1308500208887,41.4225390712243,37.8878277125858,41.4367879954101,45.8386607458065,39.526427929863,38.090994543667,41.2735314981046,39.7740696724413,39.4332077209723,42.0983163050515,38.9897334765727,40.9654340307956,41.3438731239935,42.3548457626858,42.6688430084254,42.887040278559,41.7221295842908,41.3893354498862,41.5420258243787,45.3143483030569,44.3118304176299,36.7059624237443,43.7845746216592,46.0520843210877,40.3565710908406,39.9779256045675,41.0833836491669,40.7361283506632,39.7009557950767,41.3125611185205,41.1991281293707,42.1180308447881,42.3699105453663,44.4878515336515,42.5664590963142,43.9531064434768,42.8167019196017,41.3751086100625,44.2610636011146,46.7176186996815,43.3637506833775,39.0121119834133,43.6145048769364,46.733585154847,41.7541279085928,42.4616702383379,44.0498827941769,42.0338812374335,44.6988613917581,42.6011280087482,40.5092583405524,44.0658304984575,44.4521236576923,41.7983499585342,40.9303067913558,45.6654962626156,39.8376091776367,45.0705419207056,38.8995765822498,45.5799989184781,43.2160009702708,45.1338678364176,44.7574621604875,44.6166774267425,46.7089409520748,47.0307646384822,44.6102885321772,45.5974979946767,45.2531768957042,43.8124101627989,45.7697954406033,41.4403116389482,43.84177933604,48.1646279576618,40.3632192382251,48.4202402790437,45.4428686808541,43.7811870741133,46.8304510129859,45.5122082240698,49.3349236939668,47.9605849217734,52.4107832271959,46.6369940812196,43.9866135035707,43.2845776038168,41.7576998710957,47.7028849393483,46.9945239906025,41.9899953099724,41.9219589358055,42.1680016988913,51.4746147809843,43.8729823539174,46.1194973788874,44.6960983597465,45.4862388734157,49.6371605417359,46.4685999804462,49.7234247725471,43.854887516718,45.5449164594151,47.3363734549243,51.5967543201018,46.3720581157848,50.1200809640024,45.0770778431578,49.0424314114383,40.6818719510623,46.0437473207926,43.8289389030876,48.1176322326084,40.8076778215171,46.1895966953366,46.9003834105841,45.6794132970537,46.7306880773267,43.8227503357686,45.0396238391422,43.80043258264,43.6773398593808,44.1296094527961,5.81297826606292,15.702220368877,4.07329164946493,22.8256913675799,76.9600224989621,60.0672125469544,51.30492866606,49.5204785718014,73.8503116113023,69.9374013028022,40.0373892422104,56.7627106388768,62.089955176423,50.0155077741675,48.2296898453784,39.9673800686044,52.9886118110159,54.9772937494758,47.7339988262865,"1.2"
"aia","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"ala","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"alb","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"and","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"are","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"arg","DEFO",9.10845142757928,7.35384420355268,6.95311566818826,7.69989209795226,7.21916761922906,9.32278511961036,8.69897507695758,7.31281186678756,5.40495998259417,6.48645176519065,7.79933310928804,8.44393805778146,7.3820189045666,7.15179325783068,6.97250168913647,8.72919981221454,8.22866729123568,8.33071397464421,8.33693593022021,8.47416665338372,9.44515658104423,7.47381721707554,7.16681238096595,7.85362545176287,7.4285214750777,9.47571387539018,8.75352671674943,7.43425232952085,5.5336522517974,6.56650737886094,8.06566248934179,8.50165282483942,7.46595510229446,7.35052703603362,7.13156576077622,9.10362401671935,8.22759579676956,8.43971832016264,8.52226771656606,8.70764155640948,9.73162463924487,7.50704534277544,7.42124742500044,8.0257346381266,7.61337638093568,9.69623865011274,8.53146554542803,7.37534374297884,5.57510851476853,6.66187233072516,8.15380254355773,8.58793435773865,7.51292629237305,7.55176950006318,7.30115147725969,9.56616576904285,8.45404262899768,8.92697983467349,9.18664631836232,9.15219066577006,10.1901286592899,7.96796651859949,7.78845029522711,8.65290091235338,8.15622724914267,10.2127115350938,9.61855027688773,8.10539389864397,6.11691683474049,7.26487882939417,8.77113946732642,9.60349238975302,8.17706923210061,8.2664949901812,7.85600672573639,10.2067623932356,9.11879595320711,9.21801914707225,9.34573825759346,9.55527520562338,10.414863336309,8.29437129059881,8.11798154787881,8.65844848793704,8.89729048750133,10.9120998502344,9.60363037351727,8.1653450153307,6.22547291838292,7.89697846693447,9.06742467078989,9.02224901327535,8.61845600198972,8.28320140088713,7.69836401463338,10.0662596038075,8.68451572632597,9.29920772652759,9.63998718946828,10.1281506032304,10.7883076793937,8.6806774024285,8.38743347332687,9.31607257465869,9.38622296471407,11.1597761903485,10.2788744964744,8.78783476810541,6.6225128717141,8.49380533043982,9.77493547691685,9.60588697549318,9.22080772691811,8.73752367479465,8.18364335665056,10.7406043296947,9.27115421494637,9.86005668918557,9.91290120379754,10.5699667924778,11.270456547865,9.06830522726105,8.91027571527228,9.83929062253139,10.1090076042339,11.6746090999329,10.869781949883,9.11621369403563,7.04262492102308,9.03942839203581,10.3770546972038,10.0167729133108,9.76765459763589,9.38787134502986,8.64094315087605,11.3414077554963,9.77377574947592,10.4732461534355,10.3838302354607,11.2539104120628,11.5910498840119,9.5348411743344,9.24702537959687,10.2642082852618,10.4427071555531,12.2430974764014,11.1329383682359,9.60581467651015,7.6510661970357,9.81112455992286,11.0347996210209,10.6147094216461,10.5737775341742,9.77379821070154,9.10848881185865,11.8781145175087,9.92658857075533,11.1044452625172,11.1922883468374,11.6420574927586,11.8613399300254,9.93776904543831,9.71210888757724,10.8217593517877,10.9845187010143,12.2444160607835,11.4057410217827,10.1648304096673,8.11700266049015,10.310857859686,11.4056708833356,10.6356439354944,10.3193067756826,12.476515070775,11.7271683825134,10.6941779927712,12.4303692915874,10.874092243824,11.3298473284253,10.978411036763,10.8018035182729,9.90222100506913,11.486182265253,13.1761976453464,10.9674188764206,10.1561150076326,12.2450533657311,10.4202243352489,11.2185009199616,11.0241938894046,9.53929092672663,10.3536246904875,12.8798390810793,13.4645488830925,11.8922100257987,9.4120187332703,11.3903604338634,12.5875769587431,11.8830464689355,11.2679904986132,11.7217477964651,11.7031500843667,11.4137560326918,12.5578409058244,12.0615340325491,9.71615655599631,11.0017583459654,8.28524565578289,10.9309224075537,11.5447628804734,12.6686592573123,11.6492597883116,14.3171659245418,9.28539813740163,10.5638777532682,10.3140356175515,12.6269667368686,11.1865033269012,10.5889403674476,10.5555929472534,10.4658770117147,8.91019536034328,8.52923140968627,9.88702355236792,9.74468333500645,9.05890941131393,9.20080022993466,10.2053574832217,9.72436373054254,9.96837965822479,10.0381053466614,8.0620381966331,8.4733480920904,10.2870227587934,11.3513930071062,10.5296722086757,10.3381343906923,12.6025835600314,9.16412577879603,8.67084040146305,9.83612429431391,8.17760972412606,9.87822762089793,9.78686871173928,11.1946274147139,8.79017171551845,10.2880008316107,7.94927054394688,13.0091355976058,9.53930319942668,8.38491834092678,2.41649120236628,2.24878485278658,6.54908483302065,5.98161509282817,5.07848494972805,7.65666551699326,6.41346538669436,9.73444755338014,19.1776500274379,15.2473966880024,6.10801702889799,8.12651836805097,47.1147051853557,3.87883071925612,1.88592073334493,"1.2"
"arm","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
