"iso","sector","X1750","X1751","X1752","X1753","X1754","X1755","X1756","X1757","X1758","X1759","X1760","X1761","X1762","X1763","X1764","X1765","X1766","X1767","X1768","X1769","X1770","X1771","X1772","X1773","X1774","X1775","X1776","X1777","X1778","X1779","X1780","X1781","X1782","X1783","X1784","X1785","X1786","X1787","X1788","X1789","X1790","X1791","X1792","X1793","X1794","X1795","X1796","X1797","X1798","X1799","X1800","X1801","X1802","X1803","X1804","X1805","X1806","X1807","X1808","X1809","X1810","X1811","X1812","X1813","X1814","X1815","X1816","X1817","X1818","X1819","X1820","X1821","X1822","X1823","X1824","X1825","X1826","X1827","X1828","X1829","X1830","X1831","X1832","X1833","X1834","X1835","X1836","X1837","X1838","X1839","X1840","X1841","X1842","X1843","X1844","X1845","X1846","X1847","X1848","X1849","X1850","X1851","X1852","X1853","X1854","X1855","X1856","X1857","X1858","X1859","X1860","X1861","X1862","X1863","X1864","X1865","X1866","X1867","X1868","X1869","X1870","X1871","X1872","X1873","X1874","X1875","X1876","X1877","X1878","X1879","X1880","X1881","X1882","X1883","X1884","X1885","X1886","X1887","X1888","X1889","X1890","X1891","X1892","X1893","X1894","X1895","X1896","X1897","X1898","X1899","X1900","X1901","X1902","X1903","X1904","X1905","X1906","X1907","X1908","X1909","X1910","X1911","X1912","X1913","X1914","X1915","X1916","X1917","X1918","X1919","X1920","X1921","X1922","X1923","X1924","X1925","X1926","X1927","X1928","X1929","X1930","X1931","X1932","X1933","X1934","X1935","X1936","X1937","X1938","X1939","X1940","X1941","X1942","X1943","X1944","X1945","X1946","X1947","X1948","X1949","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","ver"
"abw","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"afg","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"ago","DEFO",2.31572108222685,2.37047536882798,2.44358323148933,2.39026583188725,2.44776907894258,2.42274377042171,2.24093113116861,2.43565417462631,2.56616839848797,2.24124025713613,2.2225296204435,2.36631120989526,2.26336682547839,2.40271090220376,2.4174428521668,2.29203968164758,2.42601991852557,2.33426927097273,2.52619610593051,2.3504449051953,2.4186354246332,2.4055275245919,2.40276390537173,2.35548663404633,2.55703822985593,2.49670910353313,2.25182763621621,2.3725447278512,2.69306124195116,2.2615179125496,2.2456523080172,2.33588920230997,2.30474386083009,2.33731617353519,2.43787428563322,2.23950800012653,2.37434747143559,2.35567370435699,2.53465279985947,2.3715668425677,2.44507618405392,2.4200112338945,2.5107456116851,2.37616430055784,2.57861510223658,2.49517280600786,2.20494834953449,2.39916981352121,2.69734053140094,2.28401454633676,2.27732898927175,2.35195753063763,2.35066292969583,2.32826498440735,2.4731839574751,2.26119530533262,2.43701473225876,2.37635137589327,2.57796561459857,2.41145464913126,2.46581583385529,2.51653973160427,2.52626714913201,2.40677705160807,2.62687109604262,2.55799698040714,2.34325508425878,2.42315624567333,2.80322722779673,2.36035687755467,2.38953560491106,2.46327275218124,2.36094641580837,2.4182494007841,2.55405653923536,2.33724883555144,2.42082691026245,2.4079056305802,2.58453649140391,2.43677969753849,2.4987994462709,2.49109587441,2.56270910237177,2.43658675001241,2.6333127872427,2.53996492240284,2.33506168299002,2.44871826168297,2.76583783117995,2.35134353225182,2.26486176243711,2.50908545906529,2.398367873449,2.37350643327502,2.509939799296,2.31776087227338,2.41834131526154,2.43884742720698,2.56582160881156,2.51110566214243,2.53738441574066,2.51024017361704,2.4776516747376,2.46877543142264,2.67883669431778,2.56804456552781,2.24682591304935,2.58847043035585,2.8158897856814,2.39036282125555,2.36681141386696,2.46525332850816,2.4115760832801,2.41410322726802,2.46665503279997,2.43896761809359,2.48274329913642,2.49942985736408,2.67310152011929,2.50749843299135,2.60153770070907,2.59913290630641,2.45937748967259,2.60885070804537,2.74005185934783,2.57189482856608,2.35242722892167,2.57277954826149,2.84608856351123,2.4541666922055,2.36504170156953,2.562643065943,2.46954259050457,2.44837871769648,2.61385335538937,2.42084373101177,2.54351351903603,2.5670105250264,2.6297810739256,2.6492769169791,2.66282463397164,2.5904961845134,2.56983324963184,2.57931367914486,2.8135343945363,2.75128880573896,2.27904608723547,2.71855187346026,2.85933988672029,2.50570967423041,2.48219985917384,2.55083692618943,2.52927610065641,2.46500301747671,2.56506638223879,2.55802342277747,2.61507741646965,2.63071642770188,2.76221782546848,2.64291998163127,2.72901589829386,2.65845738301582,2.56894991414469,2.74813672521632,2.90066242049054,2.69242322283209,2.42223319801407,2.70799237439703,2.90165375704823,2.59248294565555,2.63641372681476,2.73502465579989,2.60985262565872,2.77531927626924,2.64507255100933,2.51518991665563,2.73601484004599,2.75999951155022,2.595228657188,2.54133249792189,2.83533691671825,2.47348771497355,2.79839663660544,2.41524596394284,2.83002844451279,2.68324955092369,2.80232849058527,2.7789577360112,2.77021653544586,2.9001236255956,2.92010541888443,2.76981984838646,2.83111495075995,2.80973630631437,2.72028016346723,2.84181277242959,2.57299832536718,2.72210367818369,2.99050615802537,2.50612245432619,3.00637692573346,2.82151412283175,2.71834153978494,2.90766809151912,2.82581938128834,3.06316895077557,2.97783727408675,3.25414679819663,2.89565648593657,2.73109631774547,2.68750742876643,2.59270473122136,2.96183687460265,2.91785526806141,2.60712777163339,2.60290344304764,2.6181800632969,3.19602078931025,2.72404104451751,2.86352549175376,2.77514771266917,2.82420695135329,3.08193461829577,2.88520104340563,3.08729070268659,2.7229175417956,2.82785020247768,2.93908044038081,3.20360433939863,2.87920682146315,3.11191879513661,2.79880245446757,3.04500832577282,2.52590736057238,2.85882223224612,2.72130642287135,2.98758823074824,2.53371855780987,2.86787792337173,2.9120101433459,2.83620101214481,2.90147388494097,2.72092218245775,2.79647695356519,2.71953648343902,2.711893749545,2.73997485384143,0.352511092914366,0.946282860653692,0.246949441482035,1.37206504588427,4.62907145987024,3.60598574541002,3.08787587248899,2.98276745107845,4.4366919699516,4.21562012712891,2.41146461084574,3.41043284714552,3.73460133024128,3.01999924068827,2.90525662501619,2.40693782233266,3.19084773446934,3.30987666890647,2.86675085249435,"1.2"
"aia","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"ala","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"alb","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"and","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"are","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"arg","DEFO",0.537677426593649,0.434101893341607,0.410446644679688,0.454529309018978,0.426151852361955,0.550329672535672,0.513505789224869,0.431679730720865,0.319058074082448,0.382899191006611,0.460399373658843,0.498450794877337,0.435765061574567,0.422174705221864,0.411591012969931,0.51528996820921,0.485743232946582,0.491767110331456,0.492134395688366,0.500235210495966,0.557553330770205,0.441183973943051,0.423061293403719,0.463604285793891,0.438510138107618,0.55935714847343,0.516726005532315,0.438848433995573,0.326654854939176,0.387624923105121,0.476120958092355,0.501857737430592,0.440719868677471,0.433906078745966,0.420980663556363,0.537392462044761,0.485679980022186,0.498201703643797,0.503074645160449,0.514017376406938,0.574463716453697,0.443145450162309,0.438080746232217,0.473763993166036,0.449422234269405,0.572374863732944,0.50361760172015,0.435371023238661,0.329102042667367,0.393254375077718,0.481323918588041,0.506950985545932,0.443492605019886,0.445785544355742,0.43099141435301,0.564696583358348,0.49904727087426,0.52696504809588,0.542293315578361,0.540259381047579,0.60152948700884,0.47035390686235,0.459756956452997,0.510786004869072,0.481467052454371,0.602862566571133,0.567788868984109,0.478466328259588,0.361085319893066,0.428850212449806,0.517765695069638,0.566899994943005,0.482697366370168,0.487976222329956,0.463744850999382,0.602511389176558,0.538288067261615,0.544145273354293,0.551684607287406,0.564053703979009,0.614795713737288,0.48962178005279,0.479209383480352,0.511113479359522,0.52521246905201,0.644147886526973,0.566908137887833,0.482005278441368,0.367493450563118,0.466163436058711,0.53525558778532,0.532588843941365,0.508752693405579,0.488962410864937,0.454439107672161,0.594217425584249,0.512652240065389,0.548937882951403,0.569054304928356,0.597870885211967,0.636840360275873,0.512425662861231,0.49511529691915,0.549933428765392,0.554074446393778,0.658768374029265,0.606768204429966,0.518751231260873,0.390930961872463,0.501394493257078,0.577020386715828,0.567041349994593,0.544309886706149,0.515781327055425,0.483085439175135,0.634024398640293,0.54728186343313,0.582045139013803,0.585164587421223,0.623951565099956,0.66530190234242,0.535307573090985,0.525978993735922,0.580819307110799,0.596740865094028,0.689159273347507,0.641649834810726,0.5381356376097,0.415730430841386,0.533602954279711,0.612563848915836,0.591296193635913,0.576590586761084,0.55417174959174,0.51008012551308,0.669490194865527,0.576951921092017,0.61824208656326,0.612963810171801,0.664325174276893,0.684226720779867,0.562847469442759,0.545857527250319,0.605902454080358,0.616439351717688,0.722717483044352,0.657184117608441,0.567037085285121,0.451647086376742,0.579156648331035,0.651390933661776,0.626592751247382,0.624176515302422,0.576953246890841,0.537679632762322,0.701172322666095,0.585972558527332,0.65550215138999,0.660687585991457,0.68723773044047,0.700182100594588,0.586632545712049,0.573311689716207,0.63881503107079,0.648422818172312,0.722795318851833,0.673287825930911,0.60003612250481,0.479151601006268,0.608656210007446,0.673283686855769,0.627828529050748,0.609154951700764,0.736496266476811,0.692261878659478,0.631283828011483,0.733772254677719,0.64190427348722,0.668807777147123,0.648062276756704,0.637637023814075,0.584534129155628,0.678036325126829,0.777798958615998,0.64741340706147,0.599521642882674,0.722832944139313,0.61511217557827,0.66223492274158,0.650764861874942,0.563110140074797,0.611180758541315,0.760304731900737,0.794820506278857,0.702004392163118,0.555597183437669,0.672379902310917,0.743052311221191,0.70146345879162,0.665156327624919,0.691941899264675,0.6908440686077,0.673760952927637,0.741296973746959,0.711999693602695,0.573550626765214,0.649440487285753,0.489083087607925,0.645258996007349,0.681494368213941,0.747838656434095,0.687662884984976,0.845151003684842,0.548122697006126,0.6235921257604,0.608843793398095,0.74537751942079,0.6603460956385,0.625071589530957,0.623103069917773,0.617807084947878,0.525974249372834,0.50348571715669,0.583637011369463,0.575234584424816,0.534752927821154,0.54312882945232,0.60242845658857,0.574035102774319,0.588439510167682,0.592555459553108,0.475907014328063,0.500186891972117,0.607249208401557,0.670079631758435,0.621572953339885,0.610266355493698,0.743938168900931,0.540963915956133,0.511844981933553,0.580632397062376,0.482729271874374,0.583117777899964,0.577724808268854,0.660825663236374,0.518889182013524,0.607306941718406,0.470349473177562,0.770550547305136,0.565371027585183,0.495647070572428,0.143453155274512,0.133422241570017,0.387228602767191,0.353875215436081,0.300630804846984,0.454327691503256,0.379997211753888,0.577412089736559,1.14095259706477,0.903647635800122,0.361754734732529,0.48296136691002,2.80499525126587,0.230245542464339,0.112183432296808,"1.2"
"arm","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
