"iso","sector","X1750","X1751","X1752","X1753","X1754","X1755","X1756","X1757","X1758","X1759","X1760","X1761","X1762","X1763","X1764","X1765","X1766","X1767","X1768","X1769","X1770","X1771","X1772","X1773","X1774","X1775","X1776","X1777","X1778","X1779","X1780","X1781","X1782","X1783","X1784","X1785","X1786","X1787","X1788","X1789","X1790","X1791","X1792","X1793","X1794","X1795","X1796","X1797","X1798","X1799","X1800","X1801","X1802","X1803","X1804","X1805","X1806","X1807","X1808","X1809","X1810","X1811","X1812","X1813","X1814","X1815","X1816","X1817","X1818","X1819","X1820","X1821","X1822","X1823","X1824","X1825","X1826","X1827","X1828","X1829","X1830","X1831","X1832","X1833","X1834","X1835","X1836","X1837","X1838","X1839","X1840","X1841","X1842","X1843","X1844","X1845","X1846","X1847","X1848","X1849","X1850","X1851","X1852","X1853","X1854","X1855","X1856","X1857","X1858","X1859","X1860","X1861","X1862","X1863","X1864","X1865","X1866","X1867","X1868","X1869","X1870","X1871","X1872","X1873","X1874","X1875","X1876","X1877","X1878","X1879","X1880","X1881","X1882","X1883","X1884","X1885","X1886","X1887","X1888","X1889","X1890","X1891","X1892","X1893","X1894","X1895","X1896","X1897","X1898","X1899","X1900","X1901","X1902","X1903","X1904","X1905","X1906","X1907","X1908","X1909","X1910","X1911","X1912","X1913","X1914","X1915","X1916","X1917","X1918","X1919","X1920","X1921","X1922","X1923","X1924","X1925","X1926","X1927","X1928","X1929","X1930","X1931","X1932","X1933","X1934","X1935","X1936","X1937","X1938","X1939","X1940","X1941","X1942","X1943","X1944","X1945","X1946","X1947","X1948","X1949","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","ver"
"abw","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"afg","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"ago","DEFO",15.3995451363266,15.7636612444464,16.2498284614233,15.8952677997243,16.2776643640166,16.1112460660483,14.9021919484901,16.1971002575149,17.0650198633401,14.9042477031492,14.7798220355272,15.735969509492,15.0513893484293,15.9780274881053,16.0759950047247,15.2420638608027,16.1330325034852,15.5228906768239,16.7992041369066,15.6304586051752,16.0839256339225,15.9967579650676,15.9783800072703,15.6639861470495,17.0043041911482,16.6031156322542,14.9746537992812,15.777422460899,17.9088572928738,15.039094106595,14.9335878733519,15.533663156414,15.3265466825468,15.5431525417642,16.2118640627596,14.8927281999057,15.7894106779434,15.6652301712005,16.8554411333692,15.7709195087908,16.2597566072453,16.0930747467415,16.6964582755494,15.8014926321386,17.1477904744008,16.5928992057493,14.6629065273643,15.9544792652044,17.9373144904205,15.1886967080493,15.1442377657778,15.6405175691008,15.631908558392,15.4829621075805,16.4466732992854,15.0369487930452,16.2061480177395,15.802736582482,17.1434713285914,16.0361734281841,16.3976752859105,16.7349892169321,16.7996765881508,16.0050674476265,17.4686927299738,17.0106799551236,15.5826462755457,16.1139890625644,18.6414610022782,15.6963732736009,15.8904117583788,16.3807638048214,15.7002936479848,16.0813585853862,16.9844759478837,15.5427047362685,16.0984989847589,16.0125724581941,17.1871676804946,16.2045850260418,16.617016266178,16.5657875631459,17.0420155303697,16.2033019096563,17.5115300258599,16.8907667400676,15.5281601594771,16.283976473283,18.3928215880138,15.6364344813632,15.0613307348187,16.6854183329801,15.9491464163848,15.7838178034664,16.6910996153245,15.4131098200149,16.0819697621262,16.218335418865,17.0627137305998,16.6988526648778,16.8736063335475,16.6930972146157,16.4763836614197,16.4173566958328,17.8142640061338,17.0774963793451,14.9413923324954,17.213328403913,18.7256671161412,15.8959128211918,15.7392959103151,16.393934585249,16.0369809991142,16.0537864274587,16.403256001967,16.2191346709175,16.5102429355987,16.6212085442385,17.7761250656957,16.6748645050349,17.3002257093451,17.2842337990163,16.3548603076286,17.3488571693348,18.2213448641417,17.1031006200949,15.6436410163539,17.1089840017368,18.9264889820284,16.3202085093079,15.7275272959545,17.0415764082845,16.4224581933361,16.2817185102975,17.3821248067285,16.0986108095652,16.914364918527,17.0706199665781,17.488044164221,17.6176915671473,17.7077837562335,17.2267996541378,17.0893910907504,17.1524359799085,18.7100036789379,18.2960705093189,15.1556564484743,18.0783699358105,19.0146102283078,16.6629693433182,16.5066290559693,16.9630655398879,16.8196860988656,16.3922700274831,17.0576914811937,17.0108557945568,17.3902647918508,17.4942642687534,18.3687486036779,17.5754178928389,18.1479556618618,17.6787415766572,17.0835169576628,18.2751092814448,19.2894050877377,17.9046144438609,16.1078508161344,18.0081492524612,19.2959975139728,17.240011651489,17.5321513400657,18.1879139714119,17.3555199735109,18.4558731699946,17.5897324377083,16.726012915239,18.1944987046726,18.3539967482379,17.2582705744255,16.8998610890582,18.8549904880874,16.4486932884216,18.6093376246013,16.0613856518248,18.8196891449138,17.843609516363,18.6354844728222,18.4800689839066,18.4219399010895,19.2858221179046,19.4187010179802,18.4193020222378,18.8269144490395,18.6847464778391,18.0898631108068,18.8980549308939,17.1104389335908,18.1019894427036,19.8868659372938,16.6657142574394,19.9924065915054,18.7630689367574,18.0769713017988,19.3359928205172,18.7916988356888,20.3700735116978,19.8026178601933,21.6400762217852,19.2561156851608,18.1617905842554,17.8719244476433,17.2414864792815,19.696215198915,19.4037375870875,17.3373996674421,17.3093079167486,17.4108973855049,21.2535381893434,18.1148729931582,19.0424446077853,18.454732308507,18.7809762764922,20.4948652004833,19.1865869500724,20.5304830620465,18.1074016277788,18.805203877277,19.5448849679465,21.3039688927339,19.1467253188771,20.6942599573242,18.6120362758196,20.2493053492951,16.7972839317068,19.0111678891695,18.0966877780135,19.8674617703205,16.8492283921104,19.0713881592444,19.3648674064687,18.8607367383889,19.2948013183507,18.0941324992355,18.5965717453016,18.0849176470522,18.0340934946763,18.2208327953782,2.34419875496458,6.29278128144139,1.64221383234324,9.1242328050613,30.7833255499128,23.9798056086896,20.5343748679034,19.8354039722769,29.5040020008631,28.0338738875465,16.0362398664076,22.6793789039766,24.8350996174207,20.0829953209912,19.3199571288754,16.0061366736168,21.2191379616668,22.0106804547522,19.0638935034246,"1.2"
"aia","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"ala","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"alb","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"and","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"are","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"arg","DEFO",3.5755549050661,2.88677761545519,2.72947019247964,3.02261990693368,2.83390983033405,3.65969232087825,3.41481347880897,2.87067020754364,2.12173619146279,2.54627961583512,3.06165584478758,3.31469777936412,2.89783766040268,2.80746179595826,2.73708024219204,3.42667829901653,3.23019250109167,3.27025128490825,3.27269371598739,3.32656415430772,3.70772966888836,2.9338734199381,2.81335761336203,3.08296848278665,2.91609241736876,3.71972503757379,3.43622791946839,2.9183420833442,2.17225478973908,2.57770572838264,3.16620437731249,3.33735394132714,2.93078712795447,2.88547543545964,2.7995214055089,3.57365987517241,3.2297718730937,3.31304133339707,3.34544638836187,3.41821557205757,3.82018374274619,2.94691724240997,2.91323696303597,3.1505305602806,2.98865786331166,3.8062928577172,3.34905703081947,2.89521728760234,2.18852858571335,2.61514159269589,3.20080406817166,3.37122405727603,2.94922585416797,2.96447387106751,2.86609288666933,3.75523224535897,3.31866437436688,3.50431757060659,3.60625056395666,3.59272486938412,4.00017113827366,3.12785349107802,3.0573837461032,3.39672692410195,3.20175591576264,4.00903605507507,3.77579597980854,3.18180109258009,2.40121737531468,2.85185393676029,3.4431418658859,3.76988496600184,3.20993751315449,3.24504189397979,3.08390326437759,4.00670071491389,3.57961563913338,3.61856606325231,3.6687026275829,3.75095713038905,4.0883914986328,3.25598485007484,3.18674239499041,3.3989046180891,3.4926629225748,4.28358344607752,3.769939132535,3.20533511744337,2.44383145332445,3.09998686917022,3.5594496624934,3.54171581417893,3.38320540717888,3.25160005826436,3.02202006495291,3.95154587452703,3.40913742002388,3.65043692253702,3.78421112758759,3.97584141348395,4.2349883756649,3.4076306853672,3.29251671923612,3.65705730510014,3.68459508713763,4.38080969894057,4.03500856486651,3.44969568931562,2.59969090408572,3.33427338442762,3.83718556614524,3.77082497064929,3.61966075479753,3.42994584482697,3.21251817668176,4.21626228229821,3.63942440015019,3.8706001977574,3.89134449984129,4.14927791482231,4.42425767292005,3.55979536315437,3.49776030413884,3.86244839098108,3.9683267374643,4.5829091891067,4.26697140827044,3.57860201181003,2.7646073728426,3.54845964489937,4.07354961040624,3.93211967294391,3.8343274035624,3.68524216239714,3.39203283746537,4.4521097813568,3.83673029580828,4.11130988639224,4.07620933293056,4.41776240825334,4.55010767685128,3.74293567485139,3.62995257845097,4.02925133461701,4.0993216860964,4.80607125787783,4.37027440219796,3.77079659373719,3.00345314362577,3.85139170099947,4.33174969026344,4.16684181007605,4.15077386507851,3.83673910491969,3.57556955738034,4.66279593171533,3.89671750823803,4.3590893205093,4.39357247013091,4.57013090941611,4.6562109825937,3.90110645944088,3.81252272766938,4.24811994688272,4.312011761579,4.80658890517199,4.47736403118383,3.99024018301494,3.18635814873202,4.04756379269292,4.47733652315276,4.17505973006685,4.05088043443638,4.8977001808296,4.60354149890927,4.19803748201251,4.87958549945469,4.26866342939484,4.44757174443175,4.30961415323872,4.24028622329133,3.88715193897815,4.50894155129622,5.17236310251636,4.30529915558799,3.98681893884527,4.80683907093045,4.0904959665397,4.40386227853743,4.32758633726476,3.74468245192132,4.06435205293829,5.05602649577654,5.28555638986403,4.66832919465476,3.69472129226543,4.4713263551874,4.94129791720558,4.66473199564447,4.42328958021098,4.60141359506548,4.59411303182682,4.48051034673083,4.92962491412914,4.73479799761162,3.8141116830938,4.31877924861953,3.25240252904483,4.29097231541964,4.53193755733889,4.97312706857699,4.57295819970804,5.62025420436166,3.64501595551043,4.14688763535668,4.04881121805534,4.95676051286383,4.39130153307303,4.15672607852645,4.14363541222262,4.10841712715713,3.49772874542787,3.34818000413993,3.88118613471549,3.82530998600967,3.55610699253796,3.61180672142163,4.00614925124495,3.81733344455825,3.91312272923483,3.94049381656091,3.16478166084317,3.32624281108227,4.03820725223918,4.45602956401635,4.13346013985683,4.05827126661613,4.94718882014184,3.59741004284724,3.40376912102814,3.86120546781446,3.21014964751174,3.87773322664636,3.84186999386991,4.39449067912068,3.4506130501507,4.03859118710231,3.12782405962121,5.12416130893584,3.75971733725342,3.29605311019973,0.953963517224254,0.887257932966133,2.57507025327598,2.35327022991191,1.99919489470825,3.02127918793358,2.52698150643535,3.83979040586861,7.58733499907926,6.0092566739181,2.40566899723576,3.21169317040082,18.6532188388698,1.53113289841159,0.746019829497669,"1.2"
"arm","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
