"iso","sector","X1750","X1751","X1752","X1753","X1754","X1755","X1756","X1757","X1758","X1759","X1760","X1761","X1762","X1763","X1764","X1765","X1766","X1767","X1768","X1769","X1770","X1771","X1772","X1773","X1774","X1775","X1776","X1777","X1778","X1779","X1780","X1781","X1782","X1783","X1784","X1785","X1786","X1787","X1788","X1789","X1790","X1791","X1792","X1793","X1794","X1795","X1796","X1797","X1798","X1799","X1800","X1801","X1802","X1803","X1804","X1805","X1806","X1807","X1808","X1809","X1810","X1811","X1812","X1813","X1814","X1815","X1816","X1817","X1818","X1819","X1820","X1821","X1822","X1823","X1824","X1825","X1826","X1827","X1828","X1829","X1830","X1831","X1832","X1833","X1834","X1835","X1836","X1837","X1838","X1839","X1840","X1841","X1842","X1843","X1844","X1845","X1846","X1847","X1848","X1849","X1850","X1851","X1852","X1853","X1854","X1855","X1856","X1857","X1858","X1859","X1860","X1861","X1862","X1863","X1864","X1865","X1866","X1867","X1868","X1869","X1870","X1871","X1872","X1873","X1874","X1875","X1876","X1877","X1878","X1879","X1880","X1881","X1882","X1883","X1884","X1885","X1886","X1887","X1888","X1889","X1890","X1891","X1892","X1893","X1894","X1895","X1896","X1897","X1898","X1899","X1900","X1901","X1902","X1903","X1904","X1905","X1906","X1907","X1908","X1909","X1910","X1911","X1912","X1913","X1914","X1915","X1916","X1917","X1918","X1919","X1920","X1921","X1922","X1923","X1924","X1925","X1926","X1927","X1928","X1929","X1930","X1931","X1932","X1933","X1934","X1935","X1936","X1937","X1938","X1939","X1940","X1941","X1942","X1943","X1944","X1945","X1946","X1947","X1948","X1949","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","ver"
"abw","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"afg","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"ago","DEFO",280.705902898532,287.343081785926,296.205032808421,289.742030750333,296.712430371336,293.678924705242,271.640052700966,295.243892199215,311.064499441657,271.677525118005,269.409468530892,286.838312864652,274.359652060449,291.250591338778,293.036362338376,277.835303497437,294.076052474434,282.954269168968,306.219158487439,284.915037723389,293.180923266206,291.592015254597,291.257016786235,285.526184113463,309.957762452334,302.644817849603,272.960901185393,287.59392338788,326.446132165607,274.135531309519,272.212342955427,283.150632047362,279.375271619479,283.323605667098,295.513009234035,271.467545814047,287.812447551537,285.548860795302,307.244257087954,287.475387664692,296.38600422158,293.34769394229,304.346288522124,288.032679307339,312.573258883159,302.458591875768,267.27831096303,290.821349240645,326.964855371131,276.862516081843,276.052108720856,285.098394787633,284.941466887985,282.226443901162,299.793158248439,274.096425598767,295.408815376595,288.055355589147,312.49452837109,292.310487028157,298.900013161188,305.048637038697,306.227770075131,291.743480085083,318.422728465554,310.073979806167,284.043506557102,293.72892445579,339.800175814648,286.116542055835,289.653515006657,298.591746856458,286.188004960655,293.134130644955,309.596330069751,283.315443497735,293.446568887752,291.880284323717,313.291033845371,295.38032677353,302.898202423224,301.964396437549,310.645172199713,295.356937107467,319.203574404689,307.888180028527,283.050322736192,296.827488180743,335.267926716369,285.023967452688,274.540864250036,304.145048725483,290.724140150017,287.710498458387,304.248608376989,280.95316291007,293.145270418281,295.630971543119,311.022462551656,304.389932535984,307.575377434348,304.285020390572,300.334724055669,299.258769107585,324.721868496302,311.29192388517,272.354603944003,313.767895008351,341.335099341446,289.753787896132,286.898945570164,298.831826933421,292.3252072289,292.631540185752,299.001739528812,295.645539952411,300.951917659178,302.97461996172,324.02666341899,303.952672549528,315.351878420288,315.060374553874,298.119572439669,316.238341464217,332.142216100456,311.758642690323,285.155330572753,311.865886023021,344.995720608629,297.487933271667,286.684424264186,310.637167117366,299.351761090968,296.786329498436,316.844751128385,293.448607352415,308.318331477301,311.166579784803,318.77546880069,321.138706034257,322.780925595356,314.013452821716,311.508743588348,312.65793713956,341.049584986456,333.504330274385,276.260251606219,329.536042294408,346.602012086203,303.735843938534,300.886042858602,309.206056079506,306.592507384285,298.801484647575,310.930916840705,310.07718606991,316.99312748843,318.888849337671,334.829119480184,320.368134017953,330.80446466072,322.251538459512,311.401669063826,333.122244330907,351.611025730127,326.368792628906,293.617036254574,328.256044933971,351.73119215071,314.254283014612,319.579462898325,331.532831923692,316.359790963919,336.41724339585,320.629062782023,304.885015821903,331.65285908162,334.560220840205,314.587112038228,308.053952746773,343.692432103573,299.829979243449,339.214622913421,292.770059740027,343.048953154747,325.256783270848,339.691234334362,336.858290515976,335.798701411224,351.545714657446,353.967857447431,335.750618477922,343.180656772295,340.589190115479,329.745541204219,344.477420040807,311.892405991176,329.966582391841,362.5016579047,303.785879571382,364.425473988636,342.016868265467,329.510546459502,352.460235428496,342.53873998687,371.309659555147,360.965968369347,394.459517144857,351.004220192564,331.056648912627,325.772912325804,314.281167608005,359.026440048625,353.695100448722,316.029490991342,315.517429575821,317.369222300227,387.413626164019,330.201426925379,347.109383017287,336.396447947413,342.343284791073,373.584386909062,349.736836725223,374.233638152701,330.065237869497,342.784912478341,356.267962571808,388.332886461723,349.010231102912,377.218992364993,339.263815092196,369.10827429441,306.184157337232,346.539262774518,329.869941967362,362.147954635341,307.131010608004,347.636971512304,352.986568173453,343.797175953491,351.709389261581,329.823365099368,338.981925929492,329.655393998875,328.72896245948,332.132880858229,35.8884380319186,92.1836074289334,25.1656113293873,130.508350887144,446.459562487308,341.906132121088,298.016894044285,290.359213719459,424.006584020511,411.166130583933,233.906132547908,323.82929444824,356.446680219831,297.132301773201,281.066644166422,232.214198120564,307.720761854262,319.164784550224,271.379766367288,"1.2"
"aia","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"ala","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"alb","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"and","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"are","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"arg","DEFO",52.0883924694559,42.054340841898,39.7626994484271,44.0332807253791,41.2841674684278,53.314099660326,49.7467248433448,41.8196899373569,30.9092799591224,37.0939941759625,44.6019529737353,48.2882474774935,42.2154630888251,40.8988747004909,39.8735620785495,49.919570539439,47.0571812719805,47.6407542224704,47.6763357281657,48.4611154848865,54.0139041416365,42.7404290974228,40.9847644191687,44.9124342800697,42.4813972680868,54.1886514548885,50.0586887254091,42.514169859479,31.645230801422,37.5518071929963,46.1250075576211,48.6183003694591,42.6954683496033,42.0353709694949,40.7831997515184,52.0607860399573,47.0510536816562,48.2641158861329,48.7361905504279,49.7962858796704,55.6521258028006,42.9304505468084,42.4397988618523,45.8966727773933,43.5385245005666,55.4497646510511,48.7887900245236,42.177290024274,31.8823062280188,38.0971698905384,46.6290530159169,49.1117173612357,42.9640818494446,43.1862137252553,41.7530079152485,54.7059177442757,48.3460324570126,51.0506131362184,52.5355643741756,52.3385234320156,58.2741667317187,45.5663150544383,44.5397177715708,49.4832411719316,46.6429193408579,58.4033113386011,55.0054884441753,46.352219206289,34.9807390861415,41.5455759750107,50.1594104388005,54.9193774499338,46.7621080732996,47.2735059053259,44.9260516096033,58.3692899876889,52.1475489378359,52.7149758252731,53.445361229188,54.6436382419432,59.5593545868286,47.4329220257288,46.4242038014195,49.5149656964754,50.8808286777303,62.4028945527865,54.9201662007252,46.6950608137897,35.6015375080147,45.1603562658894,51.8537731068004,51.5954278770737,49.2862610254375,47.3690449110803,44.0245422265844,57.5657983282865,49.6640362171433,53.1792674716922,55.1280796529039,57.9197336838517,61.6949662437561,49.642086450449,47.9651154736868,53.2757130137846,53.6768808836359,63.8192790634572,58.7816763432827,50.2548859528246,37.8720854378811,48.5734231621526,55.8998071053137,54.933071503281,52.7309229628028,49.9671720003444,46.7997032184511,61.422165117594,53.0188383647215,56.3865882904778,56.6887895320931,60.4463426251735,64.4522251166177,51.8588088540961,50.9550872895714,56.2678336288889,57.810260904255,66.7634475630495,62.1608921079399,52.132782551571,40.2745749532718,51.6936713578256,59.3431388455141,57.282799682954,55.8581696910908,53.6863077598888,49.4148583514808,64.8579727825228,55.8931745656975,59.8932276564651,59.381885464953,64.357602792354,66.2855979647751,54.5267825667614,52.8808533560038,58.6978055016518,59.7185847069266,70.0144552097452,63.6658014532742,54.9326580209991,43.7540607131343,56.106760672618,63.1045767997555,60.7022122513253,60.4681354438922,55.8933026569399,52.0886063995429,67.9272317788673,56.767063910361,63.5028580209169,64.0052058565991,66.5772952091982,67.8313022713088,56.8310011708402,55.540520872564,61.8862659896271,62.8170366456245,70.0219956970315,65.2258747123405,58.1294944748993,46.4186062197461,58.9645800113064,65.2254737857884,60.821930382517,59.012896544123,71.3492972485773,67.0640173932954,61.1566679134259,71.0854039390802,62.1855407679606,64.7918626984987,62.7821081424159,61.7721443702528,56.6277130005062,65.6858931755312,75.3505644979683,62.7192476055025,58.0796532073992,70.0256403268118,59.5900121073204,64.1551067763586,63.0439258358424,54.5522291347233,59.2091496420557,73.6557823038964,76.9995549074991,68.0078393207203,53.8243987409373,65.1379183633409,71.9844257479156,67.955436234511,64.4381224008933,67.0330190646627,66.9266643969849,65.2717101070757,71.8143742447022,68.9761514690337,55.5636682340591,62.9156242332465,47.3807352493103,62.5105352387958,66.0208969703358,72.4481099206075,66.6184827574808,81.8754060341677,53.1002954522679,60.4115212972308,58.9827526812344,72.2096831919551,63.9721231906529,60.5548470720998,60.3641431849795,59.8510860741715,50.9546274948123,48.7760135371443,56.5408031795472,55.7268044694061,51.8050770175399,52.6165062932546,58.3612559070625,55.6106028471848,57.0060535636868,57.4047931256942,46.1042815507799,48.4564344850128,58.8282743068812,64.9150757841973,60.2159105836231,59.1205657900001,72.0702438561579,52.4067767135293,49.5858316748012,56.2497261630769,46.7651989185238,56.4905021008128,55.9680489040515,64.0185822152431,50.2682501047533,58.8338675011737,44.0684927515761,71.7151847037732,53.3341422717954,46.3028929750585,14.7055012285855,13.1323281471443,37.149846019416,33.2145211945396,28.3596561806576,41.7228006904938,35.0149778274341,52.6979779990726,103.76261472808,81.8402357140079,33.6064976969446,44.8234535175784,253.443846519672,21.5073369576046,10.3162561924352,"1.2"
"arm","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
