"iso","sector","X1750","X1751","X1752","X1753","X1754","X1755","X1756","X1757","X1758","X1759","X1760","X1761","X1762","X1763","X1764","X1765","X1766","X1767","X1768","X1769","X1770","X1771","X1772","X1773","X1774","X1775","X1776","X1777","X1778","X1779","X1780","X1781","X1782","X1783","X1784","X1785","X1786","X1787","X1788","X1789","X1790","X1791","X1792","X1793","X1794","X1795","X1796","X1797","X1798","X1799","X1800","X1801","X1802","X1803","X1804","X1805","X1806","X1807","X1808","X1809","X1810","X1811","X1812","X1813","X1814","X1815","X1816","X1817","X1818","X1819","X1820","X1821","X1822","X1823","X1824","X1825","X1826","X1827","X1828","X1829","X1830","X1831","X1832","X1833","X1834","X1835","X1836","X1837","X1838","X1839","X1840","X1841","X1842","X1843","X1844","X1845","X1846","X1847","X1848","X1849","X1850","X1851","X1852","X1853","X1854","X1855","X1856","X1857","X1858","X1859","X1860","X1861","X1862","X1863","X1864","X1865","X1866","X1867","X1868","X1869","X1870","X1871","X1872","X1873","X1874","X1875","X1876","X1877","X1878","X1879","X1880","X1881","X1882","X1883","X1884","X1885","X1886","X1887","X1888","X1889","X1890","X1891","X1892","X1893","X1894","X1895","X1896","X1897","X1898","X1899","X1900","X1901","X1902","X1903","X1904","X1905","X1906","X1907","X1908","X1909","X1910","X1911","X1912","X1913","X1914","X1915","X1916","X1917","X1918","X1919","X1920","X1921","X1922","X1923","X1924","X1925","X1926","X1927","X1928","X1929","X1930","X1931","X1932","X1933","X1934","X1935","X1936","X1937","X1938","X1939","X1940","X1941","X1942","X1943","X1944","X1945","X1946","X1947","X1948","X1949","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","ver"
"abw","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"afg","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"ago","DEFO",29.5254435987235,30.2235609187694,31.155686057429,30.4758892665655,31.2090557055597,30.889982997499,28.5718718513307,31.0545906338421,32.7186469882069,28.5758130935118,28.3372525619336,30.1704678888963,28.8579269131064,30.6345638422381,30.8223963906201,29.2235057246101,30.931753936529,29.7619330559146,32.2090002080659,29.9681724277,30.8376016315793,30.670475792034,30.635239694535,30.0324545262974,32.6022373473837,31.8330410167973,28.7108023645759,30.249945238842,34.3365307820448,28.8343533145075,28.6320668776185,29.7825872194807,29.3854840667992,29.800781129494,31.0828971526111,28.5537269145274,30.2729300743154,30.0348397431775,32.3168231879794,30.2374771962317,31.1747213599994,30.8551431081513,32.0120064421262,30.296094740233,32.8773426690904,31.8134531196493,28.1130914177903,30.5894151652953,34.3910915080315,29.1211853390888,29.0359444961441,29.9874583959555,29.9709523695242,29.6853784707675,31.5330953563412,28.8302400448683,31.0719377418072,30.2984799283958,32.8690616197987,30.7460467303084,31.4391517752778,32.0858815187456,32.2099060255781,30.6864073453031,33.4926064283001,32.6144614527102,29.8765022394281,30.8952420645082,35.7411470213114,30.0945501369894,30.4665789061753,31.406727470437,30.102066674179,30.8326798350084,32.5642207781616,29.799922454139,30.8655430772296,30.7007967477824,32.9528401142847,31.0689411594757,31.8596926901751,31.7614722920203,32.6745409691258,31.0664809398122,33.5747378840344,32.3845526292144,29.7720363406332,31.22115765857,35.2644322968847,29.9796298662532,28.8769874153624,31.9908395413566,30.5791903914859,30.2622069338927,32.0017322864111,29.5514510618029,30.8338517726969,31.095304768385,32.7142254656392,32.0165971331531,32.3516512591568,32.0055621568712,31.5900586882525,31.4768867971605,34.1551676072402,32.7425682033292,28.6470302577365,33.0029979891864,35.9025947255556,30.4771257819336,30.1768453631573,31.4319798086076,30.7475949790037,30.7798159529539,31.4498516195091,31.0968370320913,31.6549770261432,31.8677305355578,34.0820442146099,31.9706048210942,33.169605504255,33.1389443283398,31.3570628100415,33.2628464185909,34.9356610600905,32.7916589380164,29.9934470654668,32.802939065304,36.2876290638026,31.2906251834896,30.154281590814,32.673699022197,31.4866679101888,31.2168285390036,33.326630065545,30.8657574454433,32.4297972894026,32.7293841194812,33.5297085535313,33.7782805946912,33.9510140483776,33.0288262169917,32.7653737432527,32.8862494283108,35.8725633112246,35.078932044075,29.0578374294239,34.661536282664,36.4565833883192,31.9477982274941,31.6480480203405,32.5231706870643,32.2482702384141,31.4287882635271,32.7045963091044,32.6147986165172,33.3422368828074,33.5416344055316,35.2182772544552,33.6972296945481,34.7949526197307,33.8953314444436,32.7541113416569,35.0387431997302,36.9834456339646,34.3283960664044,30.8834733043798,34.5269025729358,36.9960851650677,33.0541573790697,33.6142748800038,34.8715642274116,33.2756208246822,35.3853205280343,33.7246749157942,32.0686713395821,34.8841892413915,35.1899937210371,33.0891652599033,32.4019891548567,36.1505454401655,31.5369682133196,35.679556908182,30.7943859100194,36.0828626610201,34.2114316793249,35.7296882702583,35.4317111270025,35.320260592833,36.976576084609,37.231343980059,35.3152029221001,36.0967154465298,35.8241377414292,34.6835721239523,36.2331127488927,32.8057284484015,34.7068217348274,38.1289535011327,31.9530611869653,38.3313058436249,35.9743049626353,34.6588547568364,37.0727679986469,36.0291967746366,39.0554038689442,37.9674252091996,41.4903715790059,36.9196201627864,34.8214779533179,34.2657196111689,33.0569852542939,37.7634200712628,37.202654488816,33.2408788817622,33.1870188410153,33.3817956668199,40.7492650182627,34.7315233787184,36.509949990498,35.3831332482172,36.0086386098049,39.2946663045541,36.7863132367128,39.3629563260581,34.717198537009,36.0550899034631,37.4732755656056,40.845955217785,36.7098867308025,39.6769644260763,35.6847311074156,38.8238560188824,32.2053187239144,36.449983369317,34.6966568278931,38.0917497257315,32.3049115530999,36.5654433349377,37.1281292152918,36.1615627883829,36.9937918737093,34.6917576692564,35.655081030604,34.6740901887688,34.5766453946306,34.9346792165735,4.49451623348712,12.0651064172303,3.14860532922903,17.4938290573074,59.0206590012341,45.9763165864488,39.3704159381795,38.0302833236996,56.5678207286326,53.7491538509493,30.7461729359539,43.4830168338622,47.6161661218684,38.5049892329173,37.0420205031719,30.6884562726366,40.6833070135903,42.2009267360432,36.5510718248064,"1.2"
"aia","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"ala","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"alb","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"and","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"are","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"arg","DEFO",6.85538726715872,5.53479917141839,5.23319473088737,5.79524872410201,5.43343616078194,7.01670336852692,6.54719879881804,5.50391657853308,4.06799045953922,4.8819647191615,5.87009206247256,6.35524773091537,5.55600454030831,5.38272753902234,5.24778545049143,6.56994716296732,6.19322624152696,6.27003066208276,6.27471355697094,6.37799896440807,7.10880504405681,5.62509568796654,5.39403151150722,5.91095465822819,5.59100424411542,7.1318036688806,6.58825657894942,5.59531755646841,4.16484944594392,4.94221778097293,6.07054222399564,6.39868617423665,5.61917836512668,5.53230257444614,5.36750346612525,6.85175390965046,6.19241979465409,6.35207175083761,6.41420173425624,6.55372160299041,7.32441244858847,5.65010453264042,5.58552956203242,6.04049094715411,5.73013355758841,7.29777958245641,6.42112440953994,5.55098058887556,4.19605107031298,5.01399329662071,6.13688001067316,6.46362508967129,5.65453074758325,5.68376572455013,5.49514054710905,7.1998814280001,6.36285276224278,6.71880442335716,6.91423985080903,6.88830711922518,7.66950103414614,5.99701231909291,5.86190121026904,6.51252156281477,6.13870494073943,7.68649780687753,7.23930812896779,6.10044573811978,4.60383784313904,5.467840281428,6.60151271124775,7.22797498917963,6.15439145779351,6.22169688800983,5.91274690413434,7.68202023146364,6.86317284781132,6.9378522610421,7.03397879365866,7.19168478110371,7.83864537859819,6.24267774364257,6.10991967370566,6.51669686531286,6.69645898404565,8.21288554693797,7.22807881478325,6.14556734987627,4.68554151986182,5.94358385121185,6.82450880288272,6.79050781020643,6.48659691688297,6.23427083260339,5.79409866858583,7.57627217047922,6.53631613304876,6.99895804300577,7.25544242576447,7.6228538358692,8.11971462108468,6.53342725683282,6.31272009422609,7.01165128369163,7.06444922376991,8.39929684517653,7.73629469735222,6.6140782215401,4.98436978214529,6.39277980756244,7.35700996407769,7.22977723910288,6.93995109713382,6.57621202129857,6.15933934427682,8.08381116279438,6.97784383704563,7.42107559024174,7.46084849534395,7.95538255499799,8.48259928621021,6.82517158574834,6.7062321639013,7.40544621037677,7.6084460009111,8.78678083315748,8.18103537216488,6.8612293998007,5.30056303842557,6.80343772504985,7.81018913553894,7.53902655155174,7.35153002098208,7.06568984801852,6.50352164183909,8.53600002804842,7.35613707700886,7.882586629874,7.81528861918122,8.4701460057369,8.72389073613662,7.17630527129274,6.95968351187427,7.72525633707931,7.85960177859023,9.21464799958518,8.37909752938521,7.22972284155073,5.7585003863781,7.38424730614436,8.30523441019968,7.98905759605451,7.95825061162083,7.35615394219321,6.85541530612717,8.93994712246581,7.47115019360459,8.35765248406421,8.42376677747934,8.76228115763449,8.92732185077885,7.47956505976721,7.30972402853518,8.14489174802876,8.26739098900646,9.2156404222342,8.58441979383064,7.65046055105548,6.10918297543652,7.76036671026621,8.58436708472245,8.00481375884547,7.76672570092326,9.3903274954442,8.82633902679732,8.0488688478212,9.35559635763459,8.18427953169834,8.52729920944173,8.26279409765193,8.12987218055128,7.45281019970252,8.64496314111642,9.91693679657192,8.25452095963827,7.64390094756551,9.21612013358245,7.84268031086703,8.4434953693915,8.29725205195513,7.17965437592116,7.79255476158275,9.69388539653804,10.1339615162215,8.95055607157416,7.08386418730242,8.57284379993457,9.47391709725683,8.94365910279008,8.48074322823617,8.82225926440096,8.80826189696014,8.59045223210638,9.45153646137964,9.07799610807382,7.31277051530834,8.28036619733657,6.23580937065431,8.22705218528874,8.68905324315302,9.53494291185873,8.76770187486455,10.7756754139409,6.9885644267819,7.95079960115142,7.76275845584389,9.50356342084458,8.41941276331333,7.96966278626675,7.94456416748814,7.87704039289221,6.7061716678303,6.41944291445622,7.44137199098345,7.33424097901236,6.818099893878,6.92489263375374,7.68096286479509,7.3189476214465,7.50260380515765,7.55508217572581,6.06781448348256,6.37738288082149,7.74242745475446,8.54351538255776,7.9250551731866,7.78089616812897,9.4852116643582,6.89728996896076,6.52602357787119,7.40306310138702,6.15479823582552,7.43475165608062,7.36599136276705,8.4255272276561,6.61583708475334,7.74316360689343,5.99695560423612,9.82451926354407,7.2084804178007,6.31949997637841,1.82902768136733,1.70113354108561,4.9371645008492,4.51190889387358,3.8330426256939,5.79267781002185,4.84496424892162,7.36200394272933,14.5471454023343,11.5215067676902,4.6123726808958,6.15775727266232,35.7636889315188,2.93563053765949,1.4303386944068,"1.2"
"arm","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
