"iso","sector","X1750","X1751","X1752","X1753","X1754","X1755","X1756","X1757","X1758","X1759","X1760","X1761","X1762","X1763","X1764","X1765","X1766","X1767","X1768","X1769","X1770","X1771","X1772","X1773","X1774","X1775","X1776","X1777","X1778","X1779","X1780","X1781","X1782","X1783","X1784","X1785","X1786","X1787","X1788","X1789","X1790","X1791","X1792","X1793","X1794","X1795","X1796","X1797","X1798","X1799","X1800","X1801","X1802","X1803","X1804","X1805","X1806","X1807","X1808","X1809","X1810","X1811","X1812","X1813","X1814","X1815","X1816","X1817","X1818","X1819","X1820","X1821","X1822","X1823","X1824","X1825","X1826","X1827","X1828","X1829","X1830","X1831","X1832","X1833","X1834","X1835","X1836","X1837","X1838","X1839","X1840","X1841","X1842","X1843","X1844","X1845","X1846","X1847","X1848","X1849","X1850","X1851","X1852","X1853","X1854","X1855","X1856","X1857","X1858","X1859","X1860","X1861","X1862","X1863","X1864","X1865","X1866","X1867","X1868","X1869","X1870","X1871","X1872","X1873","X1874","X1875","X1876","X1877","X1878","X1879","X1880","X1881","X1882","X1883","X1884","X1885","X1886","X1887","X1888","X1889","X1890","X1891","X1892","X1893","X1894","X1895","X1896","X1897","X1898","X1899","X1900","X1901","X1902","X1903","X1904","X1905","X1906","X1907","X1908","X1909","X1910","X1911","X1912","X1913","X1914","X1915","X1916","X1917","X1918","X1919","X1920","X1921","X1922","X1923","X1924","X1925","X1926","X1927","X1928","X1929","X1930","X1931","X1932","X1933","X1934","X1935","X1936","X1937","X1938","X1939","X1940","X1941","X1942","X1943","X1944","X1945","X1946","X1947","X1948","X1949","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","ver"
"abw","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"afg","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"ago","DEFO",54.5352312320421,55.8246949929555,57.5463849986221,56.2907602847807,57.6449617789108,57.0556157550635,52.7739280338122,57.3596557236895,60.4332656126799,52.7812080270763,52.3405725544198,55.7266289537134,53.3022886591815,56.5838416151002,56.9307792730815,53.9775344633259,57.1327692874981,54.9720411927749,59.4919183657138,55.3529773107931,56.9588643237566,56.6501729681572,56.5850898212033,55.4717101464448,60.2182502441454,58.7974995694287,53.0305409232199,55.8734284129781,63.4215923082302,53.2587466717723,52.8851118707476,55.0101904804329,54.2767178743751,55.0437959685188,57.4119393395717,52.7404134304525,55.9158828793072,55.4761157872734,59.691073401971,55.8503991425889,57.5815441274662,56.9912644635972,59.1280591413658,55.9586693534587,60.726385714077,58.7613197046569,51.9265337503361,56.5004490984205,63.5223691409824,53.7885423334393,53.6310976738017,55.3885996934366,55.3581122084356,54.8306402579678,58.2434821767539,53.2511492318725,57.3916969151574,55.9630747963837,60.7110901394543,56.7897571072709,58.0699626886154,59.2645106315056,59.4935912679082,56.6795997456117,61.8628142441403,60.240828668269,55.1836572290969,57.0653294473356,66.0160011259602,55.5864043566516,56.2735634188558,58.0100732892337,55.6002879972508,56.9497734954964,60.148031414344,55.0422099474022,57.0104737334009,56.7061776925876,60.8658344168964,57.3861620995522,58.8467267447236,58.665307846213,60.3517993667364,57.3816181434281,62.0145160505375,59.816173759456,54.9907026333591,57.6673149604708,65.1354808987232,55.3741400323435,53.3374943230068,59.0889626566974,56.4815634627432,55.896076321612,59.1090820583075,54.5832684697003,56.9519379962845,57.4348570908804,60.425098728685,59.1365382858081,59.7554029780796,59.11615603042,58.3486968423829,58.139661671635,63.0866038445822,60.4774493884101,52.9127501829622,60.9584785627731,66.3142045998552,56.2930444956054,55.7384089837845,58.0567158395192,56.7926168408098,56.8521308087838,58.0897261493764,57.4376873795911,58.4686045555861,58.8615729752986,62.9515406959394,59.0515880442413,61.2662128923997,61.2095799284934,57.9183396808146,61.43843402515,64.5282211183514,60.5681231509225,55.3996610342008,60.5889583555537,67.0253857828566,57.7956256281787,55.696731807403,60.3502440505531,58.1577281442088,57.6593188765015,61.5562465036353,57.0108699076578,59.8997434921218,60.4530979030253,61.9313441652327,62.3904714633182,62.7095201671166,61.0061852091656,60.5195730665154,60.742837080272,66.2587349538788,64.7928512729434,53.6715352297973,64.0218966523097,67.337454200658,59.0094627248199,58.4558065967025,60.0722095206466,59.5644521259549,58.0508207027816,60.40731332001,60.2414515975947,61.585073104377,61.9533719004765,65.0502298751967,62.2407656097471,64.2683245147322,62.6066712696458,60.4987705375588,64.7186196891161,68.310599826896,63.4065669558057,57.0435919527941,63.7732200499225,68.333945940165,61.0529735092975,62.087543348532,64.4098306642941,61.4620291031485,65.3587686727599,62.2914585512754,59.2327225966289,64.4331494295275,64.9979884561983,61.1176348506104,59.84838012938,66.7721842515266,58.2506355722198,65.9022407748287,56.8790423341194,66.6471699355161,63.1905268023246,65.9948360067452,65.4444548303127,65.238599107827,68.2979115764538,68.7684824901496,65.2292573865233,66.6727570855363,66.169290059919,64.0625977862596,66.9246907002968,60.5941105923252,64.1055415350702,70.4264198707513,59.0191837671435,70.8001767211134,66.4466575984151,64.0169434021308,68.4755836257465,66.5480461843285,72.1376288408034,70.1280679035705,76.6351570963006,68.1927103210238,64.3173185995429,63.2908000365021,61.0581963835513,69.7512580747903,68.7154913906922,61.3978587760453,61.2983759650236,61.6581405292344,75.266289487028,64.1511666105666,67.4360255512983,65.3547284948207,66.5100736887703,72.5795600028003,67.9464845272964,72.7056959591819,64.1247082875102,66.59587223505,69.2153444862103,75.4448821504772,67.8053203182935,73.2856873476594,65.9117976493226,71.7099460470316,59.4851184376226,67.3252635033685,64.0867661885171,70.3577026310367,59.6690720374697,67.5385250564176,68.5778387330512,66.7925337019259,68.3297098096424,64.077717190521,65.8570323315295,64.0450842109702,63.8650979445733,64.5264074210144,8.30163605708093,22.2849618117821,5.81565934886134,32.3121315591008,109.014631017582,84.9209641667215,72.7194768393378,70.2441724664075,104.484095209423,99.2778522841945,56.789991062515,80.3156931103029,87.9498622250739,71.1209812132089,68.4187928692816,56.6833851138975,75.1444627308003,77.9475964800992,67.511982111176,"1.2"
"aia","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"ala","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"alb","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"and","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"are","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"arg","DEFO",12.6623034085776,10.2230996122112,9.6660184578363,10.704165285469,10.0358761373381,12.9602637893632,12.0930612753532,10.1660576650783,7.51381760497597,9.01727589443691,10.8424052075168,11.7385161957682,10.2622671800585,9.94221431663426,9.69296838221455,12.135078810234,11.4392531196804,11.5811154293498,11.5897650248365,11.7805391644533,13.130380998201,10.3898825658614,9.96309340966958,10.9178809136606,10.3269136833981,13.1728609198564,12.1688973188227,10.334880558344,7.69272181146186,9.12856694752747,11.2126485321089,11.8187496199312,10.3789529561591,10.2184881508847,9.91409462195756,12.6555923930685,11.4377635553516,11.7326500323525,11.8474078621248,12.1051092359783,13.5286205817111,10.4360753109087,10.3168015756581,11.1571420402514,10.5838936622895,13.4794280433729,11.8601944567311,10.2529876257815,7.75035309974637,9.26114055161849,11.3351782591502,11.938695687684,10.4442509123937,10.4982495356357,10.1498477121606,13.2986044875037,11.7525632594034,12.4100268682138,12.7710076446239,12.7231083446614,14.1660194054949,11.0768345241631,10.8272762649375,12.0290103314106,11.3385490605033,14.1974135048837,13.3714278564229,11.2678820562698,8.50355926422149,10.0994226315915,12.1933821531065,13.3504948453314,11.3675230534273,11.4918400656916,10.9211912591066,14.1891431787627,12.6766839283438,12.8146212055491,12.9921725402911,13.2834647115335,14.4784391773995,11.5305929590042,11.2853809965273,12.0367223693527,12.368753554412,15.1696826840377,13.3506867072197,11.3512243194105,8.65447078316878,10.9781489199454,12.6052691520166,12.542467342567,11.9811259358118,11.5150648660696,10.7020410497887,13.9938202578637,12.0729602529072,12.9274871041461,13.4012288760143,14.0798593982541,14.9975904836763,12.0676244393625,11.6599651960053,12.9509322058727,13.048453194575,15.5139953068592,14.2893912770417,12.2165914789326,9.20642414720736,11.8078403110516,13.5888300411912,13.3538237911252,12.8184978715315,12.1466503497417,11.3766621162593,14.9312746310998,12.8884879208993,13.7071630306275,13.7806260422706,14.6940593556119,15.6678597225374,12.6064933097778,12.3868052593889,13.6782946042581,14.0532473096661,16.2297008747696,15.1108536150399,12.6730943137552,9.79045163690845,12.5663495650322,14.4258785714599,13.9250253665692,13.5787083258827,13.0507447571161,12.0123869863314,15.7664940488385,13.5872178017386,14.559601150643,14.4352977167688,15.6448578134553,16.1135392511335,13.2550579561718,12.8549449049684,14.2690028085084,14.5171467749415,17.0199966920724,15.4766860636255,13.353723313372,10.6362889316236,13.6391389970315,15.3402564256357,14.756259331493,14.6993569168892,13.5872490582463,12.6623553519922,16.512608227514,13.799653740497,15.4370756350071,15.5591927187345,16.1844485857992,16.4892884966976,13.8151964476457,13.5014903196829,15.0440939988409,15.2703573765805,17.0218298298138,15.8559282151075,14.1308505211611,11.2840202233794,14.3338538180132,15.8558308029602,14.7853618851822,14.3455990773587,17.3444870508089,16.3027672399402,14.866734143928,17.280336661876,15.1168456922122,15.7504231729715,15.2618665434297,15.0163519549618,13.7657787149486,15.9677553018059,18.3171655185344,15.2465857683362,14.1187347404987,17.0227158523044,14.4858917195084,15.5956324198317,15.3255126459597,13.2612438314716,14.3933069622299,17.9051765275814,18.7180229754708,16.5322033367161,13.0843136811533,15.8345467684619,17.4988819347078,16.5194644638678,15.6644315483217,16.2952315726487,16.269377740803,15.8670705502216,17.4575437070334,16.7675927244947,13.5071172072003,15.2943234520363,11.5179067175732,15.1958493037064,16.0491922957153,17.6116003378569,16.194460982508,19.9033062238376,12.908289512394,14.6855945806782,14.3382714541377,17.5536406163819,15.551150526895,14.7204359102153,14.6740772027498,14.5493569064392,12.3866935180645,11.8570885839867,13.7446515578085,13.5467744812848,12.593431516118,12.7906839467116,14.1871901178175,13.5185267067937,13.8577504359281,13.9546810789739,11.2076101640903,11.7794011821556,14.3007187556755,15.780375270869,14.6380429452507,14.3717727718847,17.519743820497,12.739700263699,12.0539493921673,13.6738929227126,11.36827437844,13.732423653335,13.6054191539076,15.5624443316155,12.2198402057394,14.3020785075337,11.0767301850031,18.1464657370351,13.3144874982899,11.6724882922818,3.37832182277779,3.14209381224923,9.11923371529517,8.33376142187172,7.07985539810232,10.699417107867,8.94893417856524,13.5980548107728,26.8694334485207,21.280901211334,8.51932396187798,11.3737402383931,66.0576385584788,5.42228245170009,2.64191985222807,"1.2"
"arm","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
