"iso","sector","X1750","X1751","X1752","X1753","X1754","X1755","X1756","X1757","X1758","X1759","X1760","X1761","X1762","X1763","X1764","X1765","X1766","X1767","X1768","X1769","X1770","X1771","X1772","X1773","X1774","X1775","X1776","X1777","X1778","X1779","X1780","X1781","X1782","X1783","X1784","X1785","X1786","X1787","X1788","X1789","X1790","X1791","X1792","X1793","X1794","X1795","X1796","X1797","X1798","X1799","X1800","X1801","X1802","X1803","X1804","X1805","X1806","X1807","X1808","X1809","X1810","X1811","X1812","X1813","X1814","X1815","X1816","X1817","X1818","X1819","X1820","X1821","X1822","X1823","X1824","X1825","X1826","X1827","X1828","X1829","X1830","X1831","X1832","X1833","X1834","X1835","X1836","X1837","X1838","X1839","X1840","X1841","X1842","X1843","X1844","X1845","X1846","X1847","X1848","X1849","X1850","X1851","X1852","X1853","X1854","X1855","X1856","X1857","X1858","X1859","X1860","X1861","X1862","X1863","X1864","X1865","X1866","X1867","X1868","X1869","X1870","X1871","X1872","X1873","X1874","X1875","X1876","X1877","X1878","X1879","X1880","X1881","X1882","X1883","X1884","X1885","X1886","X1887","X1888","X1889","X1890","X1891","X1892","X1893","X1894","X1895","X1896","X1897","X1898","X1899","X1900","X1901","X1902","X1903","X1904","X1905","X1906","X1907","X1908","X1909","X1910","X1911","X1912","X1913","X1914","X1915","X1916","X1917","X1918","X1919","X1920","X1921","X1922","X1923","X1924","X1925","X1926","X1927","X1928","X1929","X1930","X1931","X1932","X1933","X1934","X1935","X1936","X1937","X1938","X1939","X1940","X1941","X1942","X1943","X1944","X1945","X1946","X1947","X1948","X1949","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","ver"
"abw","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"afg","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"ago","DEFO",4.63144214567649,4.74095075451395,4.88716644207349,4.78053166833538,4.89553814440318,4.84548753440231,4.4818622492387,4.87130835171312,5.13233678580846,4.48248051712178,4.445059235696,4.73262242064557,4.52673364258904,4.80542178709097,4.83488572067281,4.58407935042497,4.85203983952736,4.66853855818893,5.05239221169495,4.70088978434564,4.83727087632939,4.81105503513989,4.80552780060417,4.71097326650341,5.11407644620822,4.99341821478911,4.50365528771936,4.74508946062025,5.38612250249577,4.52303583031373,4.49130461838057,4.67177840399712,4.60948771976246,4.67463235219323,4.87574856751315,4.47901600135616,4.74869492993139,4.71134741669194,5.0693055914646,4.74313369890015,4.89015236799306,4.84002246377267,5.02149121245076,4.75232860993868,5.1572302201237,4.99034561288821,4.4098967020344,4.79833963555099,5.39468105615812,4.56802908190419,4.55465796616222,4.70391506532906,4.7013258663636,4.65652997088826,4.94636790828888,4.52239061433267,4.874029449268,4.75270274936553,5.15593123134419,4.822909298505,4.93163166236549,5.03307945449547,5.05253430779582,4.81355412321542,5.25374220469915,5.1159939557797,4.68651017726508,4.84631248313372,5.60645444865728,4.72071375877015,4.77907122646273,4.92654549169233,4.72189282553238,4.8364988241027,5.10811307025206,4.67449766770088,4.841653827368,4.8158112601017,5.16907297199349,4.87355939802502,4.99759887732117,4.98219174976282,5.12541822141324,4.87317351647898,5.26662557635686,5.0799298411533,4.67012337088518,4.89743652685637,5.53167566054077,4.7026870622224,4.5297235253419,5.01817091381511,4.79673575014365,4.74701285825144,5.01987959278127,4.63552173381769,4.8366826301951,4.87769486936892,5.13164321009641,5.02221132518847,5.07476883710914,5.0204803447621,4.95530334748127,4.93755086948735,5.35767339005727,5.13608912651229,4.49365184110039,5.17694087793836,5.63177958071642,4.78072564403542,4.73362284335285,4.93050666570295,4.8231521601856,4.82820644511208,4.93331008959236,4.87793524620568,4.96548659613674,4.9988597069193,5.34620302449584,5.01499686654316,5.20307540240023,5.19826581123374,4.91875497019771,5.21770142075393,5.4801037307198,5.1437896642817,4.70485445987025,5.14555909936877,5.69217714287464,4.90833337844195,4.73008339284633,5.12528613135817,4.93908517934744,4.89675744367505,5.22770670610803,4.84168745051732,5.08702703426101,5.13402106153252,5.2595621508274,5.29855385093115,5.32564924850026,5.18099237125158,5.1396664942567,5.15862736134717,5.6270687846694,5.50257759521182,4.558092168807,5.4371037558957,5.71867974805715,5.01141935918502,4.96439970155687,5.10167384483394,5.0585521972179,4.93000601123711,5.13013277366357,5.11604684749501,5.23015482214031,5.26143286702681,5.52443566026749,5.28583997105763,5.45803180822669,5.31691475920131,5.13789983048434,5.49627346975202,5.80132483603901,5.38484645787019,4.84446640986822,5.41598473951546,5.80330750717314,5.18496589704447,5.27282746349184,5.47004932122337,5.21970521138269,5.55063852983996,5.29014510274449,5.03037983557588,5.47202968009475,5.51999902393135,5.19045732578729,5.08266498592649,5.6706738350795,4.94697540163293,5.59679328639653,4.8304919296962,5.66005689372596,5.36649911231675,5.60465700491269,5.5579154872387,5.54043306042304,5.80024725732289,5.84021082340342,5.53963968289292,5.66222991483662,5.61947262481679,5.44056033665632,5.68362554393361,5.14599665628646,5.44420736289889,5.98101230334641,5.01224489124864,6.01275388249677,5.64302825766727,5.4366830987596,5.81533618199703,5.65163875726482,6.12633788032062,5.95567455171769,6.50829361380636,5.79131300974357,5.46219265292795,5.37501485160635,5.18540946710532,5.92367374578379,5.8357105301569,5.21425553852861,5.20580689553612,5.23636010157348,6.39204157960202,5.44808209947336,5.72705099966644,5.5502954270656,5.64841390494315,6.16386924601821,5.77040208632252,6.17458140864366,5.4458350786407,5.65570040566102,5.87816088893296,6.40720867330183,5.75841363148613,6.2238375781569,5.59760488739661,6.09001665659575,5.05181472602537,5.71764447176554,5.44261286243387,5.97517646122716,5.0674371163456,5.73575583726759,5.82402027036106,5.67240201995955,5.802947755147,5.44184436048707,5.59295390461999,5.43907297193218,5.42378751433198,5.47994970477555,0.705022189610573,1.89256579777999,0.493898888483282,2.74413009296109,9.25814282944981,7.21197148015793,6.17575172758721,5.96553488960757,8.87338394602263,8.43124013632595,4.82292920155708,6.82086584267162,7.46920277298993,6.03999848293845,5.81051326773649,4.81387558098405,6.38169555121527,6.61975340707796,5.73350170564377,"1.2"
"aia","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"ala","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"alb","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"and","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"are","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
"arg","DEFO",1.07535484796686,0.868203787716623,0.820893284138319,0.909058615098337,0.852303705510587,1.10065934196309,1.0270115721651,0.863359461113597,0.638116140101642,0.765798375380032,0.920798747974992,0.996901587531871,0.871530122357433,0.844349411414165,0.823182025199989,1.03057993409209,0.971486458332602,0.983534216826167,0.98426878219605,1.00047041936922,1.11510665616452,0.882367944329563,0.84612258199914,0.927208569480416,0.877020274533678,1.11871429452969,1.03345200684665,0.877696865721718,0.653309708198729,0.77524984253722,0.952241910061976,1.00371546318582,0.881439731708864,0.867812154215575,0.841961321923513,1.07478492219368,0.971359955899417,0.996403397912837,1.0061492865716,1.02803474774074,1.1489274342279,0.886290898479077,0.876161489813717,0.947527984985371,0.898844466203489,1.14474972908228,1.00723519473379,0.870742045281322,0.658204081052442,0.786508748433339,0.962647836416865,1.01390196562824,0.886985209575846,0.891571084841637,0.861982820300731,1.12939315942999,0.998094542550025,1.05393009161273,1.08458662791184,1.08051875652792,1.20305897514514,0.940707805921985,0.919513909617271,1.02157200393652,0.96293410360722,1.20572513246668,1.13557773949126,0.956932651349784,0.722170637475952,0.857700425418873,1.03553138812534,1.13379998666625,0.965394732376668,0.975952443945124,0.927489695050772,1.20502277456957,1.07657612957788,1.08829054432229,1.10336921675711,1.12810740102209,1.22959142564691,0.979243553443892,0.958418768437581,1.02222694843443,1.0504249318658,1.28829576377443,1.13381627642751,0.964010552570674,0.734986897373059,0.932326868096626,1.07051117057532,1.06517768574906,1.0175053845515,0.977924826341253,0.908878215716624,1.18843483906476,1.02530447653766,1.09787576136985,1.13810860281309,1.19574176592158,1.27368071118701,1.02485133036335,0.990230591045984,1.09986684979431,1.10814888962932,1.31753674170746,1.21353641424786,1.03750245479163,0.781861918523793,1.0027889788513,1.15404077083896,1.13408270076498,1.08861976768985,1.03156265890081,0.966170876961372,1.26804878916852,1.09456372565135,1.16409027988669,1.17032916905882,1.24790312352404,1.33060379609426,1.07061513527193,1.05195798083424,1.16163860976575,1.19348171988786,1.37831854099574,1.2832996609478,1.0762712708924,0.831460858637217,1.0672059053182,1.22512769655632,1.18259239458856,1.15318116860715,1.10834349079448,1.0201602469699,1.33898037706386,1.1539038404844,1.23648417532691,1.22592761799248,1.32865034458408,1.36845343551771,1.12569493627412,1.09171505667316,1.21180490631199,1.23287869716965,1.44543496911111,1.31436822784584,1.13407416262171,0.903294175774735,1.15831328422578,1.30278185627918,1.25318549817808,1.24835302553886,1.15390649461542,1.07535925486718,1.40234463183986,1.17194511293034,1.31100429563979,1.32137517118174,1.37447546325176,1.40036420037033,1.17326508985716,1.14662337017088,1.27763005741442,1.2968456345028,1.4455906324593,1.34657564321467,1.20007223915719,0.958303201330856,1.21731242086401,1.34656736641591,1.25565705240622,1.21830990076463,1.47299253258363,1.38452375400505,1.26256765717766,1.46754450556933,1.28380854064308,1.3376155461062,1.29612455627036,1.27527404759735,1.16906825309006,1.35607264513704,1.55559790654175,1.29482680936078,1.19904327235807,1.44566588664746,1.23022435001452,1.32446984502868,1.30152972610804,1.12622027942912,1.2223615167339,1.52060946316839,1.58964101171287,1.40400876907536,1.11119436999437,1.34475980342522,1.48610462867433,1.40292691225596,1.33031264579946,1.38388378832694,1.38168812740126,1.3475219100815,1.4825939483762,1.42399937632786,1.14710124456317,1.29888096970067,0.978166166710516,1.29051798043186,1.36298873390452,1.49567729658274,1.37532576248689,1.69030201232094,1.09624539254798,1.24718424590774,1.21768758871377,1.49075503595773,1.32069218746637,1.25014317237589,1.2462061414397,1.23561416561688,1.05194848861214,1.00697142503758,1.16727401764656,1.15046915685018,1.0695058572366,1.08625766048333,1.20485690768536,1.14807020166223,1.17687901328582,1.18511092000534,0.951814026879716,1.00037377554812,1.21449841022374,1.3401592609069,1.24314588998338,1.22053271277349,1.48787633071908,1.08192782808088,1.02368996038769,1.16126478124068,0.965458541307025,1.1662355524691,1.15544960669577,1.32165131765256,1.03777835565089,1.21461388231238,0.940698963457606,1.54110112357766,1.13074208374152,0.991294146972818,0.286906311085075,0.266844486019458,0.774457209765141,0.707750441280267,0.601261611969733,0.90865540237106,0.759994406960983,1.15482418650902,2.28190521400155,1.80729517522811,0.723509480402914,0.965922749445664,5.60999056843471,0.460491081408939,0.224366859903778,"1.2"
"arm","DEFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.2"
