Location ID,Location Name,2017 SDI Index Value,SDI Quintile
1,Global,0.652205351,
31,"Central Europe, Eastern Europe, and Central Asia",0.765735064,
32,Central Asia,0.672778523,
33,Armenia,0.702021479,High-middle SDI
34,Azerbaijan,0.701169598,High-middle SDI
35,Georgia,0.699719344,High-middle SDI
36,Kazakhstan,0.735474229,High-middle SDI
37,Kyrgyzstan,0.606646902,Low-middle SDI
38,Mongolia,0.661854015,Middle SDI
39,Tajikistan,0.522612209,Low-middle SDI
40,Turkmenistan,0.696418617,Middle SDI
41,Uzbekistan,0.629546531,Middle SDI
42,Central Europe,0.813976167,
43,Albania,0.684614242,Middle SDI
44,Bosnia and Herzegovina,0.712609905,High-middle SDI
45,Bulgaria,0.79173721,High-middle SDI
46,Croatia,0.824844721,High SDI
47,Czech Republic,0.850980459,High SDI
48,Hungary,0.816804322,High-middle SDI
49,Macedonia,0.75436361,High-middle SDI
50,Montenegro,0.788188778,High-middle SDI
51,Poland,0.84377326,High SDI
52,Romania,0.784193905,High-middle SDI
53,Serbia,0.75179332,High-middle SDI
54,Slovakia,0.841690487,High SDI
55,Slovenia,0.860279598,High SDI
56,Eastern Europe,0.785420363,
57,Belarus,0.772665439,High-middle SDI
58,Estonia,0.857709406,High SDI
59,Latvia,0.825131484,High SDI
60,Lithuania,0.840877452,High SDI
61,Moldova,0.675572758,Middle SDI
62,Russian Federation,0.791738063,High-middle SDI
63,Ukraine,0.740061596,High-middle SDI
64,High-income,0.854428248,
70,Australasia,0.868509969,
71,Australia,0.873188291,High SDI
72,New Zealand,0.842273544,High SDI
65,High-income Asia Pacific,0.86894981,
66,Brunei,0.856240565,High SDI
67,Japan,0.865093512,High SDI
35446,Aichi,0.874998978,High SDI
35428,Akita,0.829009097,High SDI
35425,Aomori,0.825175188,High SDI
35435,Chiba,0.859238574,High SDI
35461,Ehime,0.838399264,High SDI
35441,Fukui,0.852281964,High SDI
35463,Fukuoka,0.855307883,High SDI
35430,Fukushima,0.830930555,High SDI
35444,Gifu,0.84923591,High SDI
35433,Gunma,0.850963336,High SDI
35457,Hiroshima,0.862595627,High SDI
35424,Hokkaido,0.841522308,High SDI
35451,Hyogo,0.859765235,High SDI
35431,Ibaraki,0.850665189,High SDI
35440,Ishikawa,0.856039392,High SDI
35426,Iwate,0.825241842,High SDI
35460,Kagawa,0.849935485,High SDI
35469,Kagoshima,0.829680279,High SDI
35437,Kanagawa,0.874939342,High SDI
35462,Kochi,0.825446834,High SDI
35466,Kumamoto,0.831536501,High SDI
35449,Kyoto,0.87256007,High SDI
35447,Mie,0.853567757,High SDI
35427,Miyagi,0.850313137,High SDI
35468,Miyazaki,0.823112655,High SDI
35443,Nagano,0.851209245,High SDI
35465,Nagasaki,0.826141869,High SDI
35452,Nara,0.847998888,High SDI
35438,Niigata,0.843300137,High SDI
35467,Oita,0.845989117,High SDI
35456,Okayama,0.855866898,High SDI
35470,Okinawa,0.817915416,High SDI
35450,Osaka,0.872366437,High SDI
35464,Saga,0.833665065,High SDI
35434,Saitama,0.8520121,High SDI
35448,Shiga,0.870844353,High SDI
35455,Shimane,0.831040466,High SDI
35445,Shizuoka,0.858790953,High SDI
35432,Tochigi,0.853264467,High SDI
35459,Tokushima,0.845285,High SDI
35436,Tokyo,0.924328028,High SDI
35454,Tottori,0.83436659,High SDI
35439,Toyama,0.859824207,High SDI
35453,Wakayama,0.839775092,High SDI
35429,Yamagata,0.831923683,High SDI
