"SDI_category","var","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Low SDI","PM-equivalent emissions",16408.8648712857,16338.6843154968,16420.2141673563,16721.6740777763,17007.1223385194,17272.1554395743,17358.3688836369,17483.4580419791,17607.4633646457,17732.3949112018,17950.8648740293,18098.1188489345,18064.4363646944,17886.9659687781,18053.120133045,18207.138070126,18208.3461094055,18228.4723942391,18411.4982795946,18537.1862338156,18593.7139533213,18967.2605981206,18969.6679620506,19231.6950612518,19441.9371847358,19576.5863562215,19777.0743232158,20139.6786629628,20491.2358343443,20642.9671563393
"Low SDI","Fossil/industrial fraction",0.138395514672199,0.133730931618285,0.126418290818458,0.121588366636372,0.122556755805021,0.125597685337184,0.127526397965646,0.129249312920366,0.130739667829974,0.133683597048468,0.135271989574344,0.138849303243556,0.142495817831095,0.147969727154173,0.154803108442645,0.158832940629226,0.163612513478739,0.168522957645047,0.175082725675737,0.182565898966736,0.190197498297829,0.20103946322085,0.207495503590701,0.210814444515188,0.214403717139295,0.218164603667565,0.221844786170923,0.227892850518667,0.241354396055452,0.247134885372091
"Low SDI","Air pollution DALYs",52348285.6933642,52046702.3859498,52087970.8811917,52081569.468653,52027712.6699364,51993925.8549423,51717061.7676359,51391618.1867382,50939870.33101,50470321.5242119,50000418.6409648,49369721.2479711,48839469.8581615,48366259.190667,47728030.757293,47332671.6224333,46803795.7756653,46271338.0347304,45437048.5336931,44665119.8105668,43962070.0548381,43251046.2659611,42648543.6099081,42222435.201457,41833565.4892302,41313549.3051729,40786477.6936794,40089491.4469759,39572178.9428686,39123659.2097055
"Low SDI","Air pollution deaths",844993.139841108,838739.986233071,842903.675283054,845954.598559402,848277.972402221,853711.145221027,853554.732939861,852241.066886029,851674.936882527,850795.191138965,850612.424266956,846546.376964708,846382.19264911,847189.421841977,845110.173592399,846759.724937791,847668.536280247,845636.757949541,839741.065217617,835862.222337873,833851.414915507,825875.646448711,820808.772327483,822624.396400796,827356.890582,827782.483420555,828804.674839786,833447.84793388,837307.557255057,840562.642203637
"Low SDI","All cause DALYs",426056459.650855,436059885.526646,428599746.687172,432196224.671111,471417202.899702,442038157.502811,447108621.301499,448751162.442969,450293235.022514,451689044.670864,450332042.842401,444677916.980463,443242563.052454,440285512.335246,436153070.986851,431022226.550224,424662363.036024,419367575.734697,413145354.458732,408810505.448986,418644964.740062,400867703.711457,394827226.366512,390408812.096009,387699221.058565,384602464.731716,382724249.776467,379413813.137786,375992746.873772,373542594.408146
"Low SDI","All cause deaths",5963808.66959046,6110627.77903188,6006068.68548799,6072925.34614032,6681825.41640091,6256123.09016759,6344653.17173591,6380308.54925814,6425479.81030103,6465637.6415131,6465800.12525078,6396777.16614699,6397341.58525655,6376175.20310376,6333714.51958194,6273486.78084984,6199972.01993694,6134359.89673841,6053290.58358752,6008627.5482526,6200793.41717874,5914445.93321924,5835158.89830549,5796353.03112116,5798720.8066287,5776792.03913596,5778412.27041636,5787290.98830844,5793176.56999567,5788923.59432709
"Low-middle SDI","PM-equivalent emissions",32220.2114793903,32519.0736135791,33459.4769029325,34355.4656139783,35011.5537322911,35875.2261723913,36439.1882673451,37345.707246104,37074.2202419155,37771.7615784255,38245.2820463059,39058.2913490163,39775.9804054114,39746.8868547328,40902.930820913,41794.3576759201,43183.6877883102,44478.5967083359,45770.9651435089,47328.8106893074,48461.7865270303,49107.9891010146,50259.8961535288,50800.5757631287,52133.6686519572,52708.5586138906,53426.1482739067,54074.520480316,54685.9045410649,54556.403310346
"Low-middle SDI","Fossil/industrial fraction",0.480504919068158,0.481583812403117,0.493482151427166,0.496632657993596,0.498919224141234,0.506820167359016,0.512702161644683,0.522354548433639,0.515799874458432,0.515985764901217,0.515704182842718,0.522488842021791,0.519829950837335,0.523468733416023,0.535421616842132,0.53706950500573,0.552406918979701,0.558176597033562,0.56337581792151,0.574322771009552,0.579611038249784,0.577483095515649,0.586504642842435,0.591924016895441,0.603922726758298,0.608985077851584,0.609223339324703,0.613334017976006,0.618258386051038,0.617941869755898
"Low-middle SDI","Air pollution DALYs",116536781.239271,116139705.282689,115893371.713175,115101626.724144,114509548.813184,114026702.518447,113713522.12941,114618171.899393,114132597.326772,112941040.827095,112164675.039898,111338939.956898,110469230.148808,108960128.680169,106822521.783323,106142471.365575,106259748.043281,105869768.059968,105608989.074055,104086500.928201,103245342.633087,102875502.530246,102815001.434353,102483540.428413,100954627.865023,100523120.296294,98165802.0679026,95859107.9832968,94993653.2411627,94546897.5441043
"Low-middle SDI","Air pollution deaths",2179700.95157283,2198274.4901065,2211741.64841927,2217181.4505994,2223012.14396047,2224458.53520547,2250144.55653183,2317201.57744967,2332494.88106714,2311279.60822843,2317333.12915488,2338527.02663718,2347101.59577224,2328932.42473204,2276913.38856271,2302777.01432718,2353516.54375783,2387552.93840963,2422313.29070692,2392378.71035697,2389403.69985903,2426697.49344348,2473831.1203408,2521706.88999253,2531909.09319445,2554133.71016477,2542631.81111253,2536977.78826122,2573356.72356908,2598511.63608995
"Low-middle SDI","All cause DALYs",920054788.59683,926686483.950193,932407396.523962,932436546.759829,928913860.078797,934239997.451935,937376630.666249,948573767.58147,955758561.840753,955683400.981905,955276443.917655,956728514.037274,953056717.23005,946320383.328442,943431226.944588,948206694.402971,943820453.405381,940073491.701388,943974033.217439,925678198.18054,921013393.808007,918226532.728986,911873008.11565,907137702.518419,897145394.695815,893471538.034303,881924411.93383,877032503.104823,874839223.433296,874029646.00159
"Low-middle SDI","All cause deaths",13936699.4203417,14138373.4520649,14315002.1459889,14360396.4480973,14343893.5802158,14482277.7529925,14613790.2665154,15002424.4715766,15213182.7550848,15209577.8036201,15289175.4357292,15430753.8088823,15456482.7938887,15334839.6272127,15193538.4912986,15404012.3405528,15511530.8477487,15595899.0451167,15826921.3440026,15483415.2133344,15448073.2669144,15566984.4626478,15625657.323983,15779769.5685665,15765148.7366914,15831518.1754742,15788980.0255602,15870496.3438567,16057868.4961017,16190465.5368482
"Middle SDI","PM-equivalent emissions",37350.0520307689,38404.6718812733,40767.2898300355,41969.732858064,43379.3327279073,44291.3496346576,43512.4787807297,45319.2096320504,44598.2135010729,43186.5774850779,43235.218404343,44802.008323272,43109.0281877356,42859.3324916707,43759.2537325866,44498.9985998728,44332.1420834988,44656.8458935784,45939.1023836906,44876.177192905,45973.4863804839,46450.6668817909,47670.1619699896,48289.1695009301,48869.255856621,48242.4372865677,48225.6640513303,48132.5053389312,48492.5345747694,49015.5068700743
"Middle SDI","Fossil/industrial fraction",0.638693141990352,0.643594898865366,0.608633808233955,0.602541416458491,0.600467659140105,0.607838427015522,0.631418346548167,0.62740585257364,0.61667577297861,0.618111963797558,0.615718690057679,0.614031672463012,0.638077956552007,0.654298590367129,0.663948386020359,0.657477102627791,0.651921538378212,0.661388097773942,0.677306537568924,0.66954995913035,0.66735406563711,0.671992699084088,0.677437403556778,0.679896454472112,0.683093919647109,0.676641142492688,0.674080594439965,0.674688228952443,0.678073827080218,0.682464732822526
"Middle SDI","Air pollution DALYs",25689367.3833207,24934316.2317121,24411047.646696,23922375.1810168,23515990.9353699,23127214.0928654,22785257.6788416,22389334.5047113,22178323.1503704,22042751.695322,21941215.5077951,21782622.4585844,21789030.6962175,21733584.7001973,21609023.8819613,21686486.4611022,21696971.9496463,21689153.0104758,21862615.0064907,21930949.3105018,21857120.2602061,21721224.8657234,21539288.3536191,21270267.2405324,21003292.7194784,20845799.419568,20563100.4490551,20296958.9595121,20232986.8072511,20289184.4107849
"Middle SDI","Air pollution deaths",605093.876308229,598338.086239734,598553.58230977,599034.925382165,600757.423106196,601532.500518348,603563.058411087,602094.461236489,605069.510480388,608331.83118445,612625.653435264,614421.055248819,623033.248340226,628384.390998296,631875.917682384,640325.338221461,647287.442950218,652917.292859036,664533.670309417,673567.981360888,679102.693584636,681115.312946883,680507.834003735,676905.433178533,672938.217601409,672580.589699415,668706.438578864,664058.067096458,667681.073160624,674773.99175425
